,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
39,0.188,-2.59,900945,1,海控Ｂ股,0.0,0.0,0.0,0.0,0.0,-12731.0,-19.76,12732.0,19.76,1592981443,0.0,-,-,-
40,0.427,-0.93,900943,1,开开Ｂ股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981448,0.0,-,-,-
41,0.334,0.3,900940,1,大名城B,0.0,0.0,0.0,0.0,0.0,7406.0,23.54,-7406.0,-23.54,1592981439,0.0,-,-,-
42,0.378,0.8,900927,1,物贸Ｂ股,0.0,0.0,0.0,0.0,0.0,-7905.0,-9.83,7905.0,9.83,1592981457,0.0,-,-,-
43,0.427,-0.47,900922,1,三毛B股,0.0,0.0,0.0,0.0,0.0,-1596.0,-7.96,1596.0,7.96,1592981454,0.0,-,-,-
44,0.365,0.55,900918,1,耀皮Ｂ股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981435,0.0,-,-,-
45,0.288,1.05,900917,1,海欣Ｂ股,0.0,0.0,0.0,0.0,0.0,-2278.0,-2.65,2278.0,2.65,1592981460,0.0,-,-,-
46,0.403,-0.25,900916,1,凤凰B股,0.0,0.0,0.0,0.0,0.0,4822.0,6.99,-4822.0,-6.99,1592981454,0.0,-,-,-
47,0.482,0.42,900915,1,中路Ｂ股,0.0,0.0,0.0,0.0,0.0,-10925.0,-24.78,10925.0,24.78,1592981453,0.0,-,-,-
48,0.685,0.88,900914,1,锦投Ｂ股,0.0,0.0,0.0,0.0,0.0,-11057.0,-19.69,11058.0,19.69,1592981445,0.0,-,-,-
49,0.256,0.39,900913,1,国新B股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981432,0.0,-,-,-
0,0.515,-1.72,900910,1,海立Ｂ股,0.0,0.0,0.0,0.0,0.0,-55636.0,-22.62,55636.0,22.62,1592981444,0.0,-,-,-
1,0.571,-1.55,900904,1,神奇B股,0.0,0.0,0.0,0.0,0.0,-3271.0,-6.57,3272.0,6.57,1592981451,0.0,-,-,-
2,0.314,0.0,900903,1,大众Ｂ股,0.0,0.0,0.0,0.0,0.0,-1729.0,-1.25,1728.0,1.25,1592981457,0.0,-,-,-
3,0.481,0.21,900901,1,云赛Ｂ股,0.0,0.0,0.0,0.0,0.0,-464.0,-0.42,464.0,0.42,1592981459,0.0,-,-,-
4,8.01,-1.11,603861,1,白云电器,0.0,0.0,0.0,0.0,0.0,-1005478.0,-16.53,1005479.0,16.53,1592981456,0.0,-,-,-
5,27.11,-0.73,603860,1,中公高科,0.0,0.0,0.0,0.0,0.0,150503.0,3.76,-150504.0,-3.76,1592981459,0.0,-,-,-
6,3.54,-0.84,600091,1,ST明科,0.0,0.0,0.0,0.0,0.0,-358409.0,-7.35,358410.0,7.35,1592981459,0.0,-,-,-
7,1.26,-5.26,600086,1,*ST金钰,0.0,0.0,0.0,0.0,0.0,-115164.0,-10.84,115164.0,10.84,1592981459,0.0,-,-,-
8,19.02,-0.37,300652,0,雷迪克,0.0,0.0,0.0,0.0,0.0,-204417.0,-6.79,204417.0,6.79,1592981457,0.0,-,-,-
9,2.82,1.81,200992,0,中  鲁Ｂ,0.0,0.0,0.0,0.0,0.0,-33694.0,-11.68,33694.0,11.68,1592981403,0.0,-,-,-
10,2.63,2.73,200986,0,粤华包Ｂ,0.0,0.0,0.0,0.0,0.0,17776.0,2.29,-17776.0,-2.29,1592981436,0.0,-,-,-
11,8.11,0.62,200771,0,杭汽轮Ｂ,0.0,0.0,0.0,0.0,0.0,8283.0,0.47,-8284.0,-0.47,1592981454,0.0,-,-,-
12,1.52,-0.65,200761,0,本钢板Ｂ,0.0,0.0,0.0,0.0,0.0,-145572.0,-51.07,145573.0,51.07,1592981427,0.0,-,-,-
13,4.63,-1.07,200726,0,鲁  泰Ｂ,0.0,0.0,0.0,0.0,0.0,-165062.0,-25.51,165062.0,25.51,1592981406,0.0,-,-,-
14,2.55,1.19,200706,0,瓦轴B,0.0,0.0,0.0,0.0,0.0,2490.0,2.96,-2490.0,-2.96,1592981442,0.0,-,-,-
15,1.74,-1.69,200570,0,苏常柴Ｂ,0.0,0.0,0.0,0.0,0.0,-2832.0,-2.41,2832.0,2.41,1592981448,0.0,-,-,-
16,3.61,-0.28,200553,0,安道麦B,0.0,0.0,0.0,0.0,0.0,46205.0,19.7,-46205.0,-19.7,1592981421,0.0,-,-,-
17,4.92,-0.61,200550,0,江  铃Ｂ,0.0,0.0,0.0,0.0,0.0,-32153.0,-10.46,32153.0,10.46,1592981460,0.0,-,-,-
18,2.49,-1.19,200541,0,粤照明Ｂ,0.0,0.0,0.0,0.0,0.0,-24330.0,-6.07,24329.0,6.07,1592981448,0.0,-,-,-
19,2.02,0.0,200539,0,粤电力Ｂ,0.0,0.0,0.0,0.0,0.0,-257458.0,-31.4,257458.0,31.4,1592981451,0.0,-,-,-
20,1.53,0.66,200530,0,冰山B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981448,0.0,-,-,-
21,1.52,-1.3,200521,0,虹美菱B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981418,0.0,-,-,-
22,3.03,0.66,200512,0,闽灿坤Ｂ,0.0,0.0,0.0,0.0,0.0,11601.0,4.33,-11601.0,-4.33,1592981445,0.0,-,-,-
23,2.53,0.4,200468,0,宁通信B,0.0,0.0,0.0,0.0,0.0,-20259.0,-5.75,20259.0,5.75,1592981421,0.0,-,-,-
24,1.25,-0.79,200413,0,东旭B,0.0,0.0,0.0,0.0,0.0,-300735.0,-40.61,300735.0,40.61,1592981409,0.0,-,-,-
25,1.1,-1.79,200168,0,*ST舜喆B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981421,0.0,-,-,-
26,6.47,-0.46,200152,0,山  航Ｂ,0.0,0.0,0.0,0.0,0.0,-16344.0,-3.14,16345.0,3.15,1592981445,0.0,-,-,-
27,2.13,-0.47,200058,0,深赛格B,0.0,0.0,0.0,0.0,0.0,-17810.0,-3.54,17810.0,3.54,1592981427,0.0,-,-,-
28,1.46,2.82,200056,0,皇庭B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981442,0.0,-,-,-
29,2.95,3.51,200055,0,方大Ｂ,0.0,0.0,0.0,0.0,0.0,146313.0,7.91,-146313.0,-7.91,1592981424,0.0,-,-,-
30,4.16,-0.24,200054,0,建车B,0.0,0.0,0.0,0.0,0.0,-59371.0,-34.22,59371.0,34.22,1592981430,0.0,-,-,-
31,2.78,0.0,200045,0,深纺织Ｂ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981421,0.0,-,-,-
32,3.67,-1.34,200037,0,深南电B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981442,0.0,-,-,-
