,rtn,pure_rtn,zz500_rtn,in_date,out_date,pub_date
300624.SZA,6.9441,8.7631,-1.82,2019-10-15,2019-10-16,2019-10-14
300192.SZA,6.9196,8.7386,-1.82,2019-10-15,2019-10-16,2019-10-14
300765.SZA,6.9178999999999995,8.7369,-1.82,2019-10-15,2019-10-16,2019-10-14
300147.SZA,4.4911,8.660100000000002,-4.17,2018-07-04,2018-07-05,2018-07-03
831448.SHA,9.0455,8.604500000000002,0.43999999999999995,2018-07-30,2018-07-31,2018-07-27
300133.SZA,4.381,8.590000000000002,-4.21,2018-10-15,2018-10-16,2018-10-12
300718.SZA,6.3458,8.5748,-2.23,2019-04-10,2019-04-11,2019-04-09
300537.SZA,8.5546,8.473600000000001,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
300101.SZA,10.6436,8.2926,2.35,2018-03-29,2018-03-30,2018-03-28
600426.SHA,11.0005,8.2095,2.79,2018-07-09,2018-07-10,2018-07-06
200152.SZA,11.0005,8.2095,2.79,2018-04-17,2018-04-18,2018-04-14
002821.SZA,12.030100000000001,8.179100000000002,3.85,2018-11-01,2018-11-02,2018-10-31
000878.SZA,10.8279,8.1569,2.67,2019-04-16,2019-04-17,2019-04-13
603657.SHA,8.1139,8.0529,0.06,2018-07-11,2018-07-12,2018-07-10
300522.SZA,3.8438,8.0528,-4.21,2018-10-15,2018-10-16,2018-10-12
300083.SZA,5.6851,8.014100000000001,-2.33,2019-04-11,2019-04-12,2019-04-10
300699.SZA,0.9221999999999999,7.9912,-7.07,2018-10-10,2018-10-11,2018-10-09
300294.SZA,0.3499000000000001,7.988899999999999,-7.64,2018-10-11,2018-10-12,2018-10-10
002759.SZA,6.0578,7.8868,-1.8299999999999998,2019-04-29,2019-04-30,2019-04-26
002568.SZA,7.933400000000001,7.8224,0.11,2019-07-26,2019-07-29,2019-07-25
300089.SZA,7.4617,7.8207,-0.36,2018-10-09,2018-10-10,2018-10-08
300312.SZA,7.057200000000001,7.796200000000001,-0.74,2018-07-17,2018-07-18,2018-07-14
600511.SHA,6.398000000000001,7.777,-1.38,2018-07-10,2018-07-11,2018-07-07
300272.SZA,7.817099999999999,7.756099999999999,0.06,2019-01-24,2019-01-25,2019-01-23
300146.SZA,5.473,7.731999999999999,-2.26,2018-09-28,2018-10-08,2018-09-27
603378.SHA,6.2059999999999995,7.724999999999999,-1.52,2019-10-17,2019-10-18,2019-10-16
300347.SZA,7.738200000000001,7.677200000000001,0.06,2019-04-09,2019-04-10,2019-04-08
300453.SZA,5.799799999999999,7.618799999999999,-1.82,2019-10-15,2019-10-16,2019-10-12
002118.SZA,5.908399999999999,7.617399999999999,-1.71,2018-04-03,2018-04-04,2018-03-31
601155.SHA,6.1078,7.5968,-1.49,2019-01-28,2019-01-29,2019-01-25
600538.SHA,4.6175,7.5965,-2.98,2019-04-24,2019-04-25,2019-04-23
002013.SZA,10.5863,7.5553,3.03,2019-03-18,2019-03-19,2019-03-15
002613.SZA,5.7746,7.4836,-1.71,2018-04-03,2018-04-04,2018-03-31
600438.SHA,7.530600000000001,7.469600000000001,0.06,2019-01-24,2019-01-25,2019-01-23
300570.SZA,10.779,7.457999999999999,3.32,2018-07-12,2018-07-13,2018-07-11
831343.SHA,10.779,7.457999999999999,3.32,2019-03-01,2019-03-04,2019-02-28
300364.SZA,7.303,7.452,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300159.SZA,11.6792,7.448199999999999,4.23,2018-03-26,2018-03-27,2018-03-23
300759.SZA,6.7909,7.4098999999999995,-0.62,2019-10-16,2019-10-17,2019-10-15
300488.SZA,7.7425999999999995,7.381599999999999,0.36,2019-07-11,2019-07-12,2019-07-10
000070.SZA,7.9853999999999985,7.374399999999998,0.61,2019-01-10,2019-01-11,2019-01-09
600782.SHA,9.799299999999999,7.308299999999998,2.49,2018-07-23,2018-07-24,2018-07-20
002522.SZA,4.1078,7.166799999999999,-3.06,2019-07-05,2019-07-08,2019-07-04
002680.SZA,6.1843,7.1633000000000004,-0.98,2018-04-12,2018-04-13,2018-04-11
300533.SZA,7.2334,7.152399999999999,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
601658.SHA,7.2334,7.152399999999999,0.08000000000000002,2019-10-30,2019-10-31,2019-10-29
002770.SZA,5.913,7.082,-1.17,2019-07-02,2019-07-03,2019-06-29
300587.SZA,6.8225,7.0515,-0.22999999999999998,2019-04-08,2019-04-09,2019-04-04
300656.SZA,4.5244,7.043399999999999,-2.52,2018-10-12,2018-10-15,2018-10-11
002430.SZA,9.372399999999999,7.0413999999999985,2.33,2018-04-24,2018-04-25,2018-04-23
300707.SZA,4.3704,6.889399999999999,-2.52,2018-10-12,2018-10-15,2018-10-11
300007.SZA,10.9498,6.8488,4.1,2019-04-01,2019-04-02,2019-03-29
300009.SZA,9.1573,6.806299999999999,2.35,2018-03-29,2018-03-30,2018-03-28
300633.SZA,7.225,6.784,0.43999999999999995,2018-07-13,2018-07-16,2018-07-12
002463.SZA,9.138100000000001,6.637100000000001,2.5,2018-08-27,2018-08-28,2018-08-24
300052.SZA,7.3604,6.5994,0.76,2018-07-11,2018-07-12,2018-07-10
834742.SHA,6.147599999999999,6.596599999999999,-0.44999999999999996,2019-03-29,2019-04-01,2019-03-28
002923.SZA,8.9198,6.5888,2.33,2018-04-24,2018-04-25,2018-04-23
300010.SZA,7.8947,6.4437,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300753.SZA,4.213699999999999,6.442699999999999,-2.23,2019-01-29,2019-01-30,2019-01-28
300092.SZA,4.3811,6.2101,-1.83,2019-01-30,2019-01-31,2019-01-29
300790.SZA,4.3519,6.1709,-1.82,2019-10-15,2019-10-16,2019-10-14
300680.SZA,3.8396,6.1686,-2.33,2019-04-11,2019-04-12,2019-04-10
300710.SZA,3.9355,6.164499999999999,-2.23,2019-04-10,2019-04-11,2019-04-09
002269.SZA,6.9888,6.1478,0.84,2018-05-02,2018-05-03,2018-04-27
000801.SZA,3.8808999999999996,6.139899999999999,-2.26,2018-04-16,2018-04-17,2018-04-13
002617.SZA,7.7451,6.084099999999999,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
600521.SHA,4.4925999999999995,6.011599999999999,-1.52,2019-10-17,2019-10-18,2019-10-16
603890.SHA,5.5502,5.9592,-0.4099999999999999,2019-12-23,2019-12-24,2019-12-20
300639.SZA,10.05,5.949000000000001,4.1,2019-04-01,2019-04-02,2019-03-29
002761.SZA,2.183,5.9319999999999995,-3.75,2018-08-01,2018-08-02,2018-07-31
300462.SZA,5.513599999999999,5.912599999999999,-0.39999999999999997,2018-03-20,2018-03-21,2018-03-19
300318.SZA,5.7097999999999995,5.908799999999999,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
300221.SZA,7.2619,5.900899999999999,1.36,2019-04-02,2019-04-03,2019-04-01
603200.SHA,8.3609,5.8599000000000006,2.5,2018-07-06,2018-07-09,2018-07-05
000049.SZA,4.2788,5.827800000000001,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
603727.SHA,-0.8874,5.821599999999999,-6.71,2019-04-30,2019-05-06,2019-04-27
603982.SHA,7.2308,5.7798,1.4500000000000002,2019-04-12,2019-04-15,2019-04-11
000985.SZA,6.0524000000000004,5.7614,0.29000000000000004,2019-10-31,2019-11-01,2019-10-30
600084.SHA,2.9894,5.6884,-2.7,2019-10-29,2019-10-30,2019-10-26
830793.SHA,3.4382,5.6672,-2.23,2019-03-01,2019-03-04,2019-02-28
600352.SHA,3.4382,5.6672,-2.23,2019-01-29,2019-01-30,2019-01-26
603160.SHA,8.2989,5.6278999999999995,2.67,2019-04-16,2019-04-17,2019-04-13
300016.SZA,3.0999999999999996,5.618999999999999,-2.52,2018-10-12,2018-10-15,2018-10-11
300252.SZA,7.5784,5.5874,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
603848.SHA,8.3659,5.5748999999999995,2.79,2018-07-09,2018-07-10,2018-07-06
002478.SZA,8.0654,5.5644,2.5,2018-08-27,2018-08-28,2018-08-24
830946.SHA,5.8285,5.5375,0.29000000000000004,2019-01-22,2019-01-23,2019-01-21
002798.SZA,5.8285,5.5375,0.29000000000000004,2019-10-31,2019-11-01,2019-10-30
300618.SZA,7.914999999999999,5.503999999999999,2.41,2018-02-14,2018-02-22,2018-02-13
300632.SZA,3.6263,5.4453,-1.82,2019-10-15,2019-10-16,2019-10-14
002596.SZA,7.7734,5.422399999999999,2.35,2018-03-29,2018-03-30,2018-03-28
300389.SZA,4.0395,5.4185,-1.38,2018-07-10,2018-07-11,2018-07-07
600802.SHA,7.900600000000001,5.3996,2.5,2018-07-06,2018-07-09,2018-07-05
002236.SZA,6.2396,5.3986,0.84,2018-05-02,2018-05-03,2018-04-27
300366.SZA,3.8257,5.3747,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
300502.SZA,5.4428,5.3618,0.08000000000000002,2019-07-16,2019-07-17,2019-07-15
300047.SZA,7.6707,5.3197,2.35,2018-03-29,2018-03-30,2018-03-28
000031.SZA,5.3923,5.311299999999999,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
300400.SZA,5.1445,5.2935,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
002056.SZA,3.9103,5.2893,-1.38,2018-07-10,2018-07-11,2018-07-09
300628.SZA,8.6081,5.2871,3.32,2018-07-12,2018-07-13,2018-07-11
002527.SZA,5.5657,5.274699999999999,0.29000000000000004,2019-10-28,2019-10-29,2019-10-25
300422.SZA,5.6307,5.269699999999999,0.36,2019-07-11,2019-07-12,2019-07-10
300078.SZA,10.6004,5.2494000000000005,5.35,2019-02-01,2019-02-11,2019-01-31
600745.SHA,6.6517,5.2307,1.42,2019-11-01,2019-11-04,2019-10-31
002105.SZA,4.5822,5.2012,-0.62,2019-10-16,2019-10-17,2019-10-15
002845.SZA,3.3699000000000003,5.1989,-1.83,2018-04-25,2018-04-26,2018-04-24
300276.SZA,6.625500000000001,5.1745,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300404.SZA,6.173,5.162,1.01,2018-04-10,2018-04-11,2018-04-09
002559.SZA,3.3276,5.1566,-1.83,2018-04-25,2018-04-26,2018-04-24
300316.SZA,3.3221,5.1511,-1.83,2018-04-25,2018-04-26,2018-04-24
300071.SZA,4.9670000000000005,5.1160000000000005,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300264.SZA,4.8699,5.0689,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
300505.SZA,6.4863,5.035299999999999,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300508.SZA,6.4768,5.025799999999999,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
002476.SZA,3.1891,5.0081,-1.82,2019-10-15,2019-10-16,2019-10-14
000586.SZA,5.0216,4.9406,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
603348.SHA,0.7230000000000001,4.9319999999999995,-4.21,2018-04-09,2018-04-10,2018-04-04
000676.SZA,4.1354,4.8744,-0.74,2018-07-17,2018-07-18,2018-07-14
300447.SZA,6.3173,4.8663,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
002832.SZA,2.7798999999999996,4.858899999999999,-2.08,2019-09-17,2019-09-18,2019-09-16
300423.SZA,3.4777,4.856699999999999,-1.38,2018-07-10,2018-07-11,2018-07-09
300730.SZA,3.3013,4.8503,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
002353.SZA,3.9273,4.8363,-0.91,2019-01-21,2019-01-22,2019-01-18
001979.SZA,2.5943,4.8233,-2.23,2019-01-29,2019-01-30,2019-01-26
601567.SHA,4.7783999999999995,4.817399999999999,-0.04000000000000001,2019-08-28,2019-08-29,2019-08-27
300341.SZA,2.9819,4.8008999999999995,-1.82,2019-10-15,2019-10-16,2019-10-14
002540.SZA,2.9579,4.7869,-1.83,2018-04-25,2018-04-26,2018-04-24
300064.SZA,5.2265,4.7855,0.43999999999999995,2018-07-13,2018-07-16,2018-07-12
002021.SZA,4.4264,4.7854,-0.36,2018-10-09,2018-10-10,2018-09-29
300651.SZA,3.5347,4.7737,-1.24,2019-04-12,2019-04-15,2019-04-11
300616.SZA,6.2226,4.771599999999999,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
002334.SZA,3.8468,4.7458,-0.9,2018-04-02,2018-04-03,2018-03-30
300296.SZA,4.5166,4.7356,-0.21999999999999997,2018-03-07,2018-03-08,2018-03-06
