,rtn,pure_rtn,zz500_rtn,in_date,out_date,pub_date
300213.SZA,0.2306999999999999,1.7797000000000003,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
300109.SZA,-2.4336,1.7753999999999999,-4.21,2018-10-15,2018-10-16,2018-10-12
300550.SZA,1.9013000000000004,1.7703000000000007,0.1299999999999999,2019-10-14,2019-10-15,2019-10-11
603936.SHA,3.7586,1.7676000000000003,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
000969.SZA,3.4543999999999997,1.7633999999999999,1.69,2019-09-03,2019-09-04,2019-08-31
002412.SZA,-0.3967,1.7623000000000002,-2.16,2018-08-29,2018-08-30,2018-08-28
200026.SZA,0.1838,1.7328000000000003,-1.5500000000000003,2019-01-31,2019-02-01,2019-01-30
000560.SZA,0.1838,1.7328000000000003,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
300155.SZA,3.3851,1.7241,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
300128.SZA,0.0,1.709,-1.71,2018-04-03,2018-04-04,2018-03-31
002113.SZA,0.0,1.709,-1.71,2018-04-03,2018-04-04,2018-03-31
002858.SZA,1.1387,1.7077000000000002,-0.5700000000000001,2018-08-22,2018-08-23,2018-08-21
603026.SHA,2.4667000000000003,1.7057000000000004,0.76,2018-07-11,2018-07-12,2018-07-10
000759.SZA,2.6113,1.6903000000000001,0.9199999999999999,2018-05-03,2018-05-04,2018-05-02
300500.SZA,-0.12930000000000003,1.6897000000000002,-1.82,2019-10-15,2019-10-16,2019-10-14
002722.SZA,4.3201,1.6891000000000003,2.63,2018-10-30,2018-10-31,2018-10-27
300650.SZA,0.3578,1.6868000000000003,-1.33,2019-01-22,2019-01-23,2019-01-21
002382.SZA,3.0378,1.6767999999999998,1.36,2019-04-02,2019-04-03,2019-03-30
002494.SZA,1.2196999999999998,1.6686999999999999,-0.45,2018-10-24,2018-10-25,2018-10-23
002452.SZA,3.0256000000000003,1.6646000000000003,1.36,2019-04-02,2019-04-03,2019-03-30
601908.SHA,3.8217,1.6606999999999998,2.16,2018-06-28,2018-06-29,2018-06-27
002025.SZA,1.0892,1.6582000000000001,-0.5700000000000001,2018-08-22,2018-08-23,2018-08-21
300042.SZA,1.4567,1.6557000000000002,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
002082.SZA,0.0,1.6490000000000002,-1.6500000000000001,2018-04-26,2018-04-27,2018-04-25
002051.SZA,0.0,1.6490000000000002,-1.6500000000000001,2018-04-26,2018-04-27,2018-04-25
002866.SZA,0.0,1.6490000000000002,-1.6500000000000001,2018-04-26,2018-04-27,2018-04-25
600608.SHA,-0.16060000000000008,1.6484,-1.81,2019-10-30,2019-10-31,2019-10-29
300079.SZA,0.09539999999999971,1.6444,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
832419.SHA,1.3549,1.6439000000000001,-0.29000000000000004,2019-01-22,2019-01-23,2019-01-21
300041.SZA,1.3549,1.6439000000000001,-0.29000000000000004,2018-06-26,2018-06-27,2018-06-25
300233.SZA,-0.8791000000000001,1.6399,-2.52,2018-10-12,2018-10-15,2018-10-11
002850.SZA,1.7186,1.6376,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
603588.SHA,3.0871000000000004,1.6361000000000003,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300390.SZA,2.6458,1.6348,1.01,2018-04-10,2018-04-11,2018-04-09
300486.SZA,0.3023000000000001,1.6313000000000004,-1.33,2019-01-22,2019-01-23,2019-01-21
430245.SZA,6.9818999999999996,1.6309,5.35,2019-02-27,2019-02-28,2019-02-26
000566.SZA,6.9818999999999996,1.6309,5.35,2019-02-01,2019-02-11,2019-01-31
002873.SZA,-0.07860000000000023,1.6203999999999998,-1.7,2018-10-26,2018-10-29,2018-10-25
002749.SZA,0.09199999999999997,1.6110000000000002,-1.52,2019-10-17,2019-10-18,2019-10-16
002095.SZA,-0.0892,1.6098000000000001,-1.7,2018-10-26,2018-10-29,2018-10-25
300438.SZA,2.0498000000000003,1.6088000000000005,0.43999999999999995,2018-07-13,2018-07-16,2018-07-12
002373.SZA,3.8493999999999997,1.6083999999999996,2.24,2018-10-31,2018-11-01,2018-10-30
600869.SHA,0.7085000000000004,1.5975000000000006,-0.89,2019-04-19,2019-04-22,2019-04-18
300150.SZA,3.5885,1.5975000000000001,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
000973.SZA,1.6718000000000002,1.5908000000000002,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002087.SZA,1.1244,1.5734000000000001,-0.45,2018-10-24,2018-10-25,2018-10-23
300066.SZA,1.6532999999999998,1.5722999999999998,0.08000000000000002,2019-07-16,2019-07-17,2019-07-15
000850.SZA,0.01869999999999994,1.5677000000000003,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
000589.SZA,0.016199999999999992,1.5652000000000004,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
000852.SZA,-0.7700000000000002,1.559,-2.33,2019-04-11,2019-04-12,2019-04-10
300324.SZA,1.5598999999999998,1.5589,0.0,2018-01-16,2018-01-17,2018-01-15
000540.SZA,0.0,1.5490000000000004,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
833057.SHA,0.0,1.5490000000000004,-1.5500000000000003,2019-03-01,2019-03-04,2019-02-28
002341.SZA,0.8050000000000002,1.5440000000000003,-0.74,2018-07-17,2018-07-18,2018-07-14
600418.SHA,0.02379999999999982,1.5428,-1.52,2019-10-17,2019-10-18,2019-10-16
300493.SZA,1.3934,1.5424000000000002,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
000573.SZA,-0.2852000000000001,1.5338,-1.82,2019-10-15,2019-10-16,2019-10-12
300387.SZA,-0.7971,1.5319000000000003,-2.33,2019-04-11,2019-04-12,2019-04-10
002101.SZA,-0.6272,1.5318000000000003,-2.16,2018-08-29,2018-08-30,2018-08-28
300640.SZA,2.9542,1.5032,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300196.SZA,1.8618000000000001,1.5008000000000004,0.36,2019-07-11,2019-07-12,2019-07-10
300717.SZA,3.1816,1.5006000000000002,1.68,2019-10-11,2019-10-14,2019-10-10
000807.SZA,0.8716999999999999,1.4907,-0.62,2019-10-16,2019-10-17,2019-10-15
603996.SHA,1.6352000000000002,1.4842000000000004,0.14999999999999997,2018-08-13,2018-08-14,2018-08-10
300664.SZA,-0.33519999999999994,1.4838000000000002,-1.82,2019-10-15,2019-10-16,2019-10-14
835197.SHA,-5.596500000000001,1.4724999999999997,-7.07,2019-03-01,2019-03-04,2019-02-28
838830.SHA,-0.35119999999999996,1.4678000000000002,-1.82,2019-01-29,2019-01-30,2019-01-28
600057.SHA,3.9547,1.4636999999999998,2.49,2018-07-23,2018-07-24,2018-07-20
300516.SZA,-0.3663,1.4627000000000001,-1.83,2019-01-30,2019-01-31,2019-01-29
002467.SZA,-0.6983999999999999,1.4606000000000003,-2.16,2018-08-29,2018-08-30,2018-08-28
300218.SZA,1.0025,1.4515,-0.44999999999999996,2019-03-27,2019-03-28,2019-03-26
002365.SZA,2.2901,1.4491,0.84,2018-05-02,2018-05-03,2018-04-27
300461.SZA,1.2868,1.4358,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300137.SZA,0.04519999999999991,1.4242,-1.38,2018-07-10,2018-07-11,2018-07-09
002566.SZA,3.7516,1.4205999999999999,2.33,2018-04-24,2018-04-25,2018-04-21
601857.SHA,-2.3363,1.4127,-3.75,2018-08-01,2018-08-02,2018-07-31
300465.SZA,0.7918999999999999,1.4109,-0.62,2019-10-16,2019-10-17,2019-10-15
300589.SZA,2.8557,1.4047,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
000682.SZA,0.7781,1.3971,-0.62,2019-10-16,2019-10-17,2019-10-15
300559.SZA,-1.7985000000000002,1.3904999999999998,-3.19,2019-07-08,2019-07-09,2019-07-05
002625.SZA,1.4988,1.3878,0.11,2019-08-22,2019-08-23,2019-08-21
300634.SZA,-0.4336000000000001,1.3854000000000002,-1.82,2019-10-15,2019-10-16,2019-10-12
603111.SHA,-4.8091,1.3798999999999997,-6.1899999999999995,2019-05-06,2019-05-07,2019-04-30
002387.SZA,0.6404,1.3794,-0.74,2018-07-17,2018-07-18,2018-07-14
000673.SZA,-0.17859999999999987,1.3704000000000005,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
300270.SZA,2.5761,1.3651,1.21,2018-03-27,2018-03-28,2018-03-24
300222.SZA,-2.8651,1.3439,-4.21,2018-10-15,2018-10-16,2018-10-12
833295.SHA,-0.4754999999999998,1.3435000000000004,-1.82,2019-05-06,2019-05-07,2019-04-30
002717.SZA,2.2509,1.3299000000000003,0.9199999999999999,2018-05-03,2018-05-04,2018-04-28
200017.SZA,1.1806,1.3296000000000001,-0.15000000000000002,2018-10-16,2018-10-17,2018-10-13
300191.SZA,1.1806,1.3296000000000001,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
002563.SZA,4.380599999999999,1.3295999999999997,3.05,2018-08-09,2018-08-10,2018-08-08
002419.SZA,3.1805999999999996,1.3295999999999997,1.85,2018-08-20,2018-08-21,2018-08-17
838641.SHA,2.3398000000000003,1.3288000000000004,1.01,2019-07-18,2019-07-19,2019-07-17
300289.SZA,2.3398000000000003,1.3288000000000004,1.01,2018-04-10,2018-04-11,2018-04-09
603260.SHA,-0.5146,1.3144000000000002,-1.83,2019-01-30,2019-01-31,2019-01-29
002042.SZA,3.811,1.31,2.5,2018-08-27,2018-08-28,2018-08-24
600668.SHA,-0.5199,1.3091000000000002,-1.83,2019-01-30,2019-01-31,2019-01-29
600801.SHA,2.9661999999999997,1.3051999999999997,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
600865.SHA,2.2255000000000003,1.3045000000000004,0.9199999999999999,2018-05-03,2018-05-04,2018-04-28
002404.SZA,-4.3055,1.3035,-5.61,2018-03-22,2018-03-23,2018-03-21
000875.SZA,1.5625,1.3015,0.26,2019-01-17,2019-01-18,2019-01-16
002454.SZA,3.9570999999999996,1.2860999999999998,2.67,2019-04-16,2019-04-17,2019-04-13
300512.SZA,1.1335,1.2825000000000002,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300126.SZA,2.7305,1.2795,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300440.SZA,-0.5442,1.2748000000000002,-1.82,2019-10-15,2019-10-16,2019-10-14
300244.SZA,-0.5547,1.2743000000000002,-1.83,2019-01-30,2019-01-31,2019-01-29
002037.SZA,2.1146000000000003,1.2736000000000005,0.84,2018-05-02,2018-05-03,2018-04-27
837249.SHA,0.6527999999999998,1.2717999999999998,-0.62,2019-02-28,2019-03-01,2019-02-27
002833.SZA,4.4821,1.2711000000000001,3.21,2019-09-02,2019-09-03,2019-08-30
200771.SZA,4.4821,1.2711000000000001,3.21,2019-04-16,2019-04-17,2019-04-13
002660.SZA,1.3483,1.2673,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002860.SZA,2.0982,1.2572,0.84,2018-05-02,2018-05-03,2018-04-27
600125.SHA,-0.9747000000000001,1.2543,-2.23,2019-01-29,2019-01-30,2019-01-26
002154.SZA,1.5567,1.2457,0.31,2018-11-21,2018-11-22,2018-11-20
000776.SZA,3.9022,1.2312000000000003,2.67,2019-04-16,2019-04-17,2019-04-13
300352.SZA,-2.9838,1.2252,-4.21,2018-10-15,2018-10-16,2018-10-12
300382.SZA,2.2353,1.2243000000000002,1.01,2018-04-10,2018-04-11,2018-04-09
002003.SZA,1.3338999999999999,1.2229,0.10999999999999988,2018-08-21,2018-08-22,2018-08-18
002791.SZA,5.3225,1.2215000000000003,4.1,2019-04-01,2019-04-02,2019-03-29
000672.SZA,0.5891,1.2081,-0.62,2019-10-16,2019-10-17,2019-10-15
835212.SHA,-0.17420000000000013,1.2047999999999999,-1.38,2019-03-19,2019-03-20,2019-03-18
600143.SHA,-0.17420000000000013,1.2047999999999999,-1.38,2018-07-10,2018-07-11,2018-07-09
002429.SZA,0.028799999999999937,1.1978,-1.17,2019-07-03,2019-07-04,2019-07-02
002606.SZA,0.5718999999999999,1.1909,-0.62,2019-10-16,2019-10-17,2019-10-15
002446.SZA,3.8174,1.1864000000000003,2.63,2018-10-30,2018-10-31,2018-10-27
002781.SZA,3.4246,1.1835999999999998,2.24,2018-10-31,2018-11-01,2018-10-30
000925.SZA,1.2510999999999999,1.1701,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
601606.SHA,3.0495,1.1685,1.8800000000000001,2018-07-18,2018-07-19,2018-07-17
002311.SZA,-0.5455000000000001,1.1635,-1.71,2018-04-03,2018-04-04,2018-03-31
833896.SHA,0.4788000000000001,1.1578000000000002,-0.6799999999999999,2019-04-30,2019-05-06,2019-04-29
600508.SHA,0.006800000000000028,1.1558000000000002,-1.15,2018-07-30,2018-07-31,2018-07-27
300337.SZA,-1.3707,1.1483,-2.52,2018-10-12,2018-10-15,2018-10-11
002127.SZA,1.2691,1.1481,0.12,2018-04-27,2018-05-02,2018-04-26
600740.SHA,-0.6841000000000002,1.1449,-1.83,2019-01-30,2019-01-31,2019-01-29
300153.SZA,0.9913000000000001,1.1403000000000003,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300310.SZA,1.1186,1.1376,-0.019999999999999907,2019-08-13,2019-08-14,2019-08-10
300069.SZA,4.3271999999999995,1.1161999999999996,3.21,2019-09-02,2019-09-03,2019-08-30
000517.SZA,-0.7030000000000001,1.116,-1.82,2019-10-15,2019-10-16,2019-10-14
000981.SZA,0.4469,1.1159000000000001,-0.6699999999999999,2018-04-17,2018-04-18,2018-04-14
300026.SZA,1.194,1.113,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002510.SZA,6.459300000000001,1.1083000000000012,5.35,2019-02-01,2019-02-11,2019-01-31
300371.SZA,2.7593,1.0983,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
000703.SZA,1.8520000000000003,1.0910000000000004,0.76,2018-04-09,2018-04-10,2018-04-04
002290.SZA,-0.4596,1.0894000000000004,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
002246.SZA,-1.083,1.0760000000000003,-2.16,2018-08-29,2018-08-30,2018-08-28
601077.SHA,-1.0877,1.0713000000000004,-2.16,2019-09-11,2019-09-12,2019-09-10
603489.SHA,-1.9205999999999999,1.0684,-2.9899999999999998,2019-09-25,2019-09-26,2019-09-24
002295.SZA,-0.7595,1.0595000000000003,-1.82,2019-10-15,2019-10-16,2019-10-12
002531.SZA,0.6077,1.0567000000000002,-0.45,2018-10-24,2018-10-25,2018-10-23
603369.SHA,1.1673,1.0563,0.11000000000000001,2019-01-09,2019-01-10,2019-01-08
836084.SHA,6.4003000000000005,1.049300000000001,5.35,2019-07-12,2019-07-15,2019-07-11
002328.SZA,6.4003000000000005,1.049300000000001,5.35,2019-02-01,2019-02-11,2019-01-31
300713.SZA,2.0566,1.0456,1.01,2018-04-10,2018-04-11,2018-04-09
603000.SHA,8.7452,1.0442000000000013,7.699999999999999,2018-10-19,2018-10-22,2018-10-18
002386.SZA,0.1452,1.0442,-0.9,2018-04-02,2018-04-03,2018-03-30
300195.SZA,-0.14129999999999998,1.0377,-1.18,2018-03-21,2018-03-22,2018-03-20
300596.SZA,-0.7841,1.0349000000000002,-1.82,2019-10-15,2019-10-16,2019-10-14
603258.SHA,1.1157,1.0347,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002062.SZA,1.1542000000000001,1.0332000000000003,0.12,2018-04-27,2018-05-02,2018-04-26
300419.SZA,-0.7864,1.0326000000000002,-1.82,2019-10-15,2019-10-16,2019-10-14
300553.SZA,0.4778999999999999,1.0269,-0.55,2019-07-09,2019-07-10,2019-07-08
000099.SZA,2.4759,1.0249000000000001,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300039.SZA,0.4622,1.0212,-0.5599999999999999,2018-04-04,2018-04-09,2018-04-03
603871.SHA,3.0317,1.0207000000000002,2.01,2019-07-23,2019-07-24,2019-07-22
600778.SHA,-1.639,1.01,-2.65,2018-08-16,2018-08-17,2018-08-15
000548.SZA,3.6799,1.0089000000000001,2.67,2019-04-16,2019-04-17,2019-04-13
300432.SZA,0.2963,1.0053,-0.7100000000000001,2019-03-22,2019-03-25,2019-03-21
002099.SZA,0.9410000000000001,0.9899999999999999,-0.04999999999999982,2018-10-18,2018-10-19,2018-10-17
300666.SZA,-3.2228,0.9862000000000001,-4.21,2018-10-15,2018-10-16,2018-10-12
002165.SZA,-3.8335,0.9855000000000004,-4.82,2019-04-25,2019-04-26,2019-04-24
200512.SZA,-3.8335,0.9855000000000004,-4.82,2019-04-11,2019-04-12,2019-04-10
603568.SHA,-1.2447,0.9843000000000001,-2.23,2019-01-29,2019-01-30,2019-01-28
002413.SZA,-0.1494000000000001,0.9696,-1.12,2018-07-26,2018-07-27,2018-07-25
000768.SZA,0.8205,0.9695,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
603606.SHA,1.0297,0.9687,0.06,2019-01-24,2019-01-25,2019-01-23
300112.SZA,0.7671000000000001,0.9661000000000001,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
300412.SZA,1.0867000000000002,0.9557000000000003,0.1299999999999999,2019-10-14,2019-10-15,2019-10-11
300635.SZA,2.9455,0.9545000000000002,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
300517.SZA,-1.5685,0.9505,-2.52,2018-10-12,2018-10-15,2018-10-11
002489.SZA,0.9062,0.9452,-0.04000000000000001,2019-08-28,2019-08-29,2019-08-27
688108.SHA,0.9062,0.9452,-0.04000000000000001,2019-09-05,2019-09-06,2019-09-04
300451.SZA,1.6811999999999996,0.9201999999999996,0.76,2018-07-11,2018-07-12,2018-07-10
300135.SZA,-1.4213,0.9077000000000001,-2.33,2019-04-11,2019-04-12,2019-04-10
601011.SHA,2.8986,0.9076000000000003,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
831647.SHA,1.0253999999999999,0.9043999999999999,0.12,2019-07-03,2019-07-04,2019-07-02
002129.SZA,3.0018,0.9007999999999997,2.1,2019-10-09,2019-10-10,2019-10-08
002851.SZA,0.0,0.899,-0.9,2018-04-02,2018-04-03,2018-03-30
603360.SHA,-0.052999999999999936,0.896,-0.95,2019-10-23,2019-10-24,2019-10-22
002775.SZA,1.8132,0.8922,0.9199999999999999,2018-05-03,2018-05-04,2018-04-28
603093.SHA,2.3416,0.8906,1.4500000000000002,2019-08-14,2019-08-15,2019-08-13
300011.SZA,2.3416,0.8906,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
600836.SHA,0.7413000000000001,0.8903000000000001,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300215.SZA,2.242,0.8809999999999999,1.36,2019-04-02,2019-04-03,2019-03-30
002383.SZA,-6.195799999999999,0.873200000000001,-7.07,2018-10-10,2018-10-11,2018-10-09
000837.SZA,3.5426,0.8716000000000003,2.67,2019-04-16,2019-04-17,2019-04-13
002372.SZA,3.5014000000000003,0.8704000000000004,2.63,2018-10-30,2018-10-31,2018-10-27
002274.SZA,0.5948,0.8638,-0.27,2018-10-25,2018-10-26,2018-10-24
002217.SZA,1.7788000000000002,0.8578000000000002,0.9199999999999999,2018-05-03,2018-05-04,2018-04-28
000157.SZA,0.9188000000000001,0.8578,0.06,2019-04-09,2019-04-10,2019-04-08
002200.SZA,-2.7069,0.8420999999999997,-3.55,2019-04-26,2019-04-29,2019-04-25
600376.SHA,-1.1874,0.8416000000000002,-2.0300000000000002,2018-10-23,2018-10-24,2018-10-20
300687.SZA,6.1905,0.8395000000000005,5.35,2019-02-01,2019-02-11,2019-01-31
002675.SZA,-1.597,0.8319999999999997,-2.4299999999999997,2018-08-14,2018-08-15,2018-08-11
002555.SZA,2.2510000000000003,0.8300000000000004,1.42,2019-11-01,2019-11-04,2019-10-31
603977.SHA,0.26780000000000026,0.8168000000000003,-0.55,2019-07-09,2019-07-10,2019-07-06
000568.SZA,2.2556,0.8145999999999999,1.44,2018-03-30,2018-04-02,2018-03-29
300140.SZA,0.2632000000000003,0.8122000000000004,-0.55,2019-07-09,2019-07-10,2019-07-08
000753.SZA,-0.7411000000000001,0.8079000000000002,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
600805.SHA,2.7971,0.8061000000000001,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
002316.SZA,1.6427,0.8017000000000001,0.84,2018-05-02,2018-05-03,2018-04-27
603033.SHA,-1.0073,0.8017,-1.81,2019-10-30,2019-10-31,2019-10-29
600727.SHA,0.9213,0.8003,0.12,2018-04-27,2018-05-02,2018-04-26
002541.SZA,-0.7496,0.7994000000000002,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
837183.SHA,-1.2314,0.7976000000000002,-2.0300000000000002,2019-02-25,2019-02-26,2019-02-22
002291.SZA,-0.9033,0.7957,-1.7,2018-10-26,2018-10-29,2018-10-25
300749.SZA,0.1761999999999999,0.7951999999999999,-0.62,2019-10-16,2019-10-17,2019-10-15
830866.SHA,0.1761999999999999,0.7951999999999999,-0.62,2019-10-28,2019-10-29,2019-10-25
002168.SZA,6.143800000000001,0.792800000000001,5.35,2019-02-01,2019-02-11,2019-01-31
300392.SZA,0.8711,0.7900999999999999,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002416.SZA,0.1701,0.7891,-0.62,2019-10-16,2019-10-17,2019-10-15
002909.SZA,0.8685999999999998,0.7875999999999997,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002170.SZA,3.0249,0.7838999999999999,2.24,2018-10-31,2018-11-01,2018-10-30
603985.SHA,-1.179,0.7799999999999999,-1.96,2018-10-17,2018-10-18,2018-10-16
603916.SHA,-1.4504,0.7786000000000001,-2.23,2019-01-29,2019-01-30,2019-01-26
600699.SHA,0.7855000000000001,0.7745000000000001,0.010000000000000009,2019-01-08,2019-01-09,2019-01-07
002626.SZA,6.1251999999999995,0.7741999999999999,5.35,2019-02-01,2019-02-11,2019-01-31
002565.SZA,1.6072,0.7662,0.84,2018-05-02,2018-05-03,2018-04-27
300095.SZA,-0.14719999999999978,0.7618000000000003,-0.91,2019-01-21,2019-01-22,2019-01-18
002375.SZA,0.1926,0.7616,-0.5700000000000001,2018-08-31,2018-09-03,2018-08-30
002068.SZA,0.607,0.756,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
600603.SHA,2.737,0.7460000000000003,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
833790.SHA,2.737,0.7460000000000003,1.9899999999999998,2019-07-03,2019-07-04,2019-07-02
002788.SZA,-1.0877,0.7413000000000002,-1.83,2018-04-25,2018-04-26,2018-04-24
000825.SZA,0.0,0.739,-0.74,2018-07-17,2018-07-18,2018-07-14
002464.SZA,0.0,0.739,-0.74,2018-07-17,2018-07-18,2018-07-14
002431.SZA,0.0,0.739,-0.74,2018-07-17,2018-07-18,2018-07-14
300545.SZA,1.4996000000000003,0.7386000000000003,0.76,2018-07-11,2018-07-12,2018-07-10
300388.SZA,1.7481,0.7371,1.01,2018-04-10,2018-04-11,2018-04-09
300696.SZA,2.1875999999999998,0.7365999999999996,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300015.SZA,-1.0929,0.7361000000000001,-1.83,2019-01-30,2019-01-31,2019-01-29
300303.SZA,2.0861,0.7251,1.36,2019-04-02,2019-04-03,2019-03-30
603878.SHA,2.176,0.725,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300421.SZA,0.5728,0.7218,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300263.SZA,0.7322,0.7212,0.010000000000000009,2019-01-08,2019-01-09,2019-01-07
002231.SZA,-0.9930999999999999,0.7159000000000001,-1.71,2018-04-03,2018-04-04,2018-03-31
300410.SZA,-1.1637,0.7152999999999999,-1.88,2018-06-13,2018-06-14,2018-06-12
000938.SZA,3.3854,0.7144000000000003,2.67,2019-04-16,2019-04-17,2019-04-15
300136.SZA,2.6982999999999997,0.7072999999999999,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
600171.SHA,2.2068,0.7057999999999999,1.5,2019-08-27,2019-08-28,2019-08-24
002780.SZA,2.9462,0.7051999999999999,2.24,2018-10-31,2018-11-01,2018-10-30
601330.SHA,2.3634,0.7023999999999998,1.6600000000000001,2018-05-22,2018-05-23,2018-05-21
300360.SZA,0.7734,0.6924,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
600714.SHA,0.3213999999999999,0.6903999999999999,-0.37,2018-08-28,2018-08-29,2018-08-25
600783.SHA,6.0387,0.6877000000000008,5.35,2019-02-01,2019-02-11,2019-01-31
002241.SZA,-2.8646000000000003,0.6843999999999996,-3.55,2019-04-26,2019-04-29,2019-04-25
300515.SZA,0.7629999999999999,0.6819999999999998,0.08000000000000002,2019-07-16,2019-07-17,2019-07-15
002669.SZA,0.0,0.6789999999999999,-0.6799999999999999,2018-10-29,2018-10-30,2018-10-26
600273.SHA,-1.8409,0.6781,-2.52,2018-10-12,2018-10-15,2018-10-11
002916.SZA,0.7887,0.6777,0.11000000000000001,2019-01-09,2019-01-10,2019-01-08
600017.SHA,-0.9807000000000001,0.6683,-1.6500000000000001,2018-04-26,2018-04-27,2018-04-25
300063.SZA,-2.3245,0.6644999999999998,-2.9899999999999998,2018-08-15,2018-08-16,2018-08-14
603822.SHA,0.36880000000000024,0.6578000000000003,-0.29000000000000004,2018-06-26,2018-06-27,2018-06-25
002911.SZA,-0.47140000000000004,0.6575999999999999,-1.13,2018-08-17,2018-08-20,2018-08-16
300005.SZA,2.3136,0.6526,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
000032.SZA,-1.5814,0.6476000000000001,-2.23,2019-01-29,2019-01-30,2019-01-26
002707.SZA,-1.782,0.6469999999999997,-2.4299999999999997,2018-08-14,2018-08-15,2018-08-11
832340.SHA,-1.782,0.6469999999999997,-2.4299999999999997,2019-02-20,2019-02-21,2019-02-19
603035.SHA,-0.07450000000000001,0.6445,-0.72,2019-01-25,2019-01-28,2019-01-24
002182.SZA,1.1535000000000002,0.6425000000000002,0.51,2019-07-29,2019-07-30,2019-07-26
688033.SHA,0.0,0.639,-0.64,2019-07-05,2019-07-08,2019-07-04
002962.SZA,-1.0669,0.6321,-1.7,2019-08-28,2019-08-29,2019-08-27
603609.SHA,-1.1902,0.6288000000000001,-1.82,2019-10-15,2019-10-16,2019-10-14
002260.SZA,0.0,0.619,-0.62,2019-10-16,2019-10-17,2019-10-15
300102.SZA,0.4683,0.6173000000000001,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
000338.SZA,2.0582000000000003,0.6172000000000003,1.44,2018-03-30,2018-04-02,2018-03-29
300246.SZA,1.6237,0.6126999999999999,1.01,2018-04-10,2018-04-11,2018-04-09
300330.SZA,-1.72,0.6090000000000001,-2.33,2019-04-11,2019-04-12,2019-04-10
000833.SZA,-1.9171,0.6019,-2.52,2018-10-12,2018-10-15,2018-10-11
600510.SHA,2.8422,0.6011999999999998,2.24,2018-10-31,2018-11-01,2018-10-30
688218.SHA,-3.6163,0.5927000000000001,-4.21,2019-07-12,2019-07-15,2019-07-11
600702.SHA,-1.2394999999999998,0.5895000000000002,-1.83,2019-01-30,2019-01-31,2019-01-29
600262.SHA,-1.6437000000000002,0.5852999999999998,-2.23,2019-01-29,2019-01-30,2019-01-26
300487.SZA,-1.2351999999999999,0.5838000000000002,-1.82,2019-10-15,2019-10-16,2019-10-12
000004.SZA,-0.08879999999999999,0.5801999999999999,-0.6699999999999999,2018-04-17,2018-04-18,2018-04-14
834470.SHA,0.6568,0.5758,0.08000000000000002,2019-01-28,2019-01-29,2019-01-25
