,date,ndate,instrument,sname,hymc,forecast,forecasttype,increasel,increaset,zfpx,forecastcontent
39,2020-03-31,2020-04-15,002502.SZA,*ST鼎龙,综合行业,increase,扭亏,184.54,218.35,201.445,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,000万元至2,800万元。"
40,2020-03-31,2020-04-15,002606.SZA,大连电瓷,输配电气,increase,扭亏,231.87,297.8,264.835,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,000万元至1,500万元。"
41,2020-03-31,2020-04-15,002532.SZA,新界泵业,机械行业,increase,预增,50.0,100.0,75.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,107.65万元至5,476.86万元,同比上年增长:50%至100%。"
42,2020-03-31,2020-04-15,002577.SZA,雷柏科技,电子信息,increase,预增,149.0,221.0,185.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,050万元至1,350万元,同比上年增长:149%至221%。"
43,2020-03-31,2020-04-15,002676.SZA,顺威股份,塑胶制品,increase,扭亏,110.19,115.29,112.74,预计2020年1-3月归属于上市公司股东的净利润盈利:60万元至90万元。
44,2020-03-31,2020-04-15,002611.SZA,东方精工,专用设备,increase,预增,52.52,90.65,71.585,"预计2020年1-3月归属于上市公司股东的净利润盈利:4,000万元至5,000万元,同比上年增长:52.52%至90.65%。"
45,2020-03-31,2020-04-15,000625.SZA,长安汽车,汽车行业,increase,扭亏,123.85,135.78,129.815,"预计2020年1-3月归属于上市公司股东的净利润盈利:50,000万元至75,000万元,同比上年增长:123.85%至135.78%。"
46,2020-03-31,2020-04-15,000400.SZA,许继电气,输配电气,increase,预增,50.0,60.0,55.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,780万元至4,030万元,同比上年增长:50%至60%。"
47,2020-03-31,2020-04-15,200168.SZA,*ST舜喆B,珠宝首饰,increase,扭亏,275.12,275.12,275.12,"预计2020年1-3月归属于上市公司股东的净利润盈利:约380万元,同比上年增长:275.12%。"
48,2020-03-31,2020-04-15,002306.SZA,ST云网,旅游酒店,increase,扭亏,100.0,116.43,108.215,预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至100万元。
49,2020-03-31,2020-04-15,002459.SZA,晶澳科技,专用设备,increase,预增,189.03,246.84,217.935,"预计2020年1-3月归属于上市公司股东的净利润盈利:25,000万元至30,000万元,同比上年增长:189.03%至246.84%。"
50,2020-03-31,2020-04-15,002947.SZA,恒铭达,电子元件,increase,略增,0.0,10.0,5.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,790.07万元至3,069.08万元,同比上年增长:0%至10%。"
51,2020-03-31,2020-04-15,002793.SZA,罗欣药业,医药制造,increase,预增,485.0,588.0,536.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:10,656万元至12,537万元,同比上年增长:485%至588%。"
52,2020-03-31,2020-04-15,002653.SZA,海思科,医药制造,increase,预增,150.0,170.0,160.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:12,455.73万元至13,452.18万元,同比上年增长:150%至170%。"
53,2020-03-31,2020-04-15,000829.SZA,天音控股,通讯行业,increase,预增,464.24,637.85,551.045,"预计2020年1-3月归属于上市公司股东的净利润盈利:6,500万元至8,500万元,同比上年增长:464.24%至637.85%。"
54,2020-03-31,2020-04-15,002662.SZA,京威股份,汽车行业,increase,扭亏,101.02,101.52,101.27,预计2020年1-3月归属于上市公司股东的净利润盈利:100万元至150万元。
55,2020-03-31,2020-04-15,002524.SZA,光正集团,医疗行业,increase,扭亏,295.43,393.15,344.29,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,000万元至1,500万元。"
56,2020-03-31,2020-04-15,002382.SZA,蓝帆医疗,医疗行业,increase,预增,50.0,60.0,55.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:14,407.56万元至15,368.06万元,同比上年增长:50%至60%。"
57,2020-03-31,2020-04-15,002529.SZA,*ST海源,专用设备,increase,扭亏,354.91,418.64,386.775,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,000万元至2,500万元。"
58,2020-03-31,2020-04-15,000807.SZA,云铝股份,有色金属,increase,预增,236.0,236.0,236.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:17,000万元,同比上年增长:236%。"
59,2020-03-31,2020-04-15,000792.SZA,*ST盐湖,化工行业,increase,扭亏,345.5,458.8,402.15,"预计2020年1-3月归属于上市公司股东的净利润盈利:65,000万元至95,000万元。"
60,2020-03-31,2020-04-15,000767.SZA,漳泽电力,电力行业,increase,预增,735.27,740.36,737.815,"预计2020年1-3月归属于上市公司股东的净利润盈利:约8,000万元至8,200万元,同比上年增长:735.27%至740.36%。"
61,2020-03-31,2020-04-15,002312.SZA,三泰控股,化工行业,increase,扭亏,116.82,125.23,121.025,预计2020年1-3月归属于上市公司股东的净利润盈利:600.00万元-900.00万元。
62,2020-03-31,2020-04-15,000691.SZA,亚太实业,房地产,increase,扭亏,413.43,486.33,449.88,预计2020年1-3月归属于上市公司股东的净利润盈利:430万元至530万元。
63,2020-03-31,2020-04-15,000533.SZA,顺钠股份,输配电气,increase,扭亏,114.42,117.75,116.085,预计2020年1-3月归属于上市公司股东的净利润盈利:65万元至80万元。
64,2020-03-31,2020-04-15,000875.SZA,吉电股份,电力行业,increase,预增,49.0,74.0,61.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:24,000万元至28,000万元,同比上年增长:49%至74%。"
65,2020-03-31,2020-04-15,002054.SZA,德美化工,化工行业,increase,略增,10.0,35.0,22.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,230.37万元至2,737.27万元,同比上年增长:10%至35%。"
66,2020-03-31,2020-04-15,002069.SZA,獐子岛,农牧饲渔,increase,扭亏,100.0,123.18,111.59,"预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至1,000万元。"
67,2020-03-31,2020-04-15,000982.SZA,*ST中绒,纺织服装,increase,扭亏,100.69,100.86,100.775,预计2020年1-3月归属于上市公司股东的净利润盈利:160万元至200万元。
