n,date,ndate,instrument,,,
,2019-03-31,2019-03-30,002465.SZA,,,
,2019-03-31,2019-04-10,300649.SZA,,,
,2019-03-31,2019-04-09,300147.SZA,,,
,2019-03-31,2019-04-09,300284.SZA,,,
,2019-03-31,2019-04-10,300151.SZA,,,
,2019-03-31,2019-04-09,300067.SZA,,,
,2019-03-31,2019-03-18,300763.SZA,,,
,2019-03-31,2019-03-22,002053.SZA,,,
,2019-03-31,2019-04-04,000510.SZA,,,
,2019-03-31,2019-03-30,300228.SZA,,,
,2019-03-31,2019-04-05,300098.SZA,,,
,2019-03-31,2019-04-10,300083.SZA,,,
,2019-03-31,2019-03-20,300637.SZA,,,
,2019-03-31,2019-04-09,300087.SZA,,,
,2019-03-31,2019-04-01,300771.SZA,,,
,2019-03-31,2019-03-12,300423.SZA,,,
,2019-03-31,2019-04-10,300634.SZA,,,
,2019-03-31,2019-03-29,300553.SZA,,,
,2019-03-31,2019-04-10,300558.SZA,,,
,2019-03-31,2019-04-10,300166.SZA,,,
,2019-03-31,2019-04-10,300038.SZA,,,
,2019-03-31,2019-02-28,300146.SZA,,,
,2019-03-31,2019-04-08,300463.SZA,,,
,2019-03-31,2019-04-10,300759.SZA,,,
,2019-03-31,2019-04-02,300422.SZA,,,
,2019-03-31,2019-04-09,300642.SZA,,,
,2019-03-31,2019-04-09,300305.SZA,,,
,2019-03-31,2019-04-09,300294.SZA,,,
,2019-03-31,2019-04-10,300349.SZA,,,
,2019-03-31,2019-03-26,300366.SZA,,,
,2019-03-31,2019-04-09,300394.SZA,,,
,2019-03-31,2019-04-10,300338.SZA,,,
,2019-03-31,2019-04-09,300386.SZA,,,
,2019-03-31,2019-03-09,000902.SZA,,,
,2019-03-31,2019-02-28,002262.SZA,,,
,2019-03-31,2019-03-30,300078.SZA,,,
,2019-03-31,2019-04-09,300271.SZA,,,
,2019-03-31,2019-04-08,300452.SZA,,,
,2019-03-31,2019-03-28,300357.SZA,,,
,2019-03-31,2019-03-16,300193.SZA,,,
,2019-03-31,2019-04-10,300154.SZA,,,
,2019-03-31,2019-04-09,300382.SZA,,,
,2019-03-31,2019-03-30,300724.SZA,,,
,2019-03-31,2019-04-09,300511.SZA,,,
,2019-03-31,2019-03-28,300322.SZA,,,
,2019-03-31,2019-04-09,300760.SZA,,,
,2019-03-31,2019-04-09,300309.SZA,,,
,2019-03-31,2019-04-08,300088.SZA,,,
,2019-03-31,2019-04-11,000967.SZA,,,
,2019-03-31,2019-04-13,000837.SZA,,,
,2019-03-31,2019-04-13,000682.SZA,,,
,2019-03-31,2019-04-09,300217.SZA,,,
,2019-03-31,2019-03-30,300653.SZA,,,
,2019-03-31,2019-04-10,300757.SZA,,,
,2019-03-31,2019-04-09,300030.SZA,,,
,2019-03-31,2019-04-09,300668.SZA,,,
,2019-03-31,2019-04-09,300235.SZA,,,
,2019-03-31,2019-04-05,300683.SZA,,,
,2019-03-31,2019-04-09,300021.SZA,,,
,2019-03-31,2019-04-09,300482.SZA,,,
,2019-03-31,2019-04-08,300388.SZA,,,
,2019-03-31,2019-03-29,002292.SZA,,,
,2019-03-31,2019-03-28,002449.SZA,,,
,2019-03-31,2019-03-30,300658.SZA,,,
,2019-03-31,2019-04-10,300389.SZA,,,
,2019-03-31,2019-04-09,300181.SZA,,,
,2019-03-31,2019-03-18,002191.SZA,,,
,2019-03-31,2019-03-27,002697.SZA,,,
,2019-03-31,2019-03-15,300114.SZA,,,
,2019-03-31,2019-02-28,300016.SZA,,,
,2019-03-31,2019-03-28,002444.SZA,,,
,2019-03-31,2019-03-26,002461.SZA,,,
,2019-03-31,2019-03-29,002097.SZA,,,
,2019-03-31,2019-03-26,300685.SZA,,,
,2019-03-31,2019-01-14,300532.SZA,,,
,2019-03-31,2019-04-09,300196.SZA,,,
,2019-03-31,2019-04-09,300667.SZA,,,
,2019-03-31,2019-04-15,000046.SZA,,,
,2019-03-31,2019-03-29,300639.SZA,,,
,2019-03-31,2019-02-01,300343.SZA,,,
,2019-03-31,2019-04-09,300117.SZA,,,
,2019-03-31,2019-04-09,300727.SZA,,,
,2019-03-31,2019-03-30,002624.SZA,,,
,2019-03-31,2019-04-09,300496.SZA,,,
,2019-03-31,2019-03-29,002751.SZA,,,
,2019-03-31,2019-04-12,000931.SZA,,,
,2019-03-31,2019-01-31,300091.SZA,,,
,2019-03-31,2019-04-09,300203.SZA,,,
,2019-03-31,2019-02-27,002614.SZA,,,
,2019-03-31,2019-04-10,300577.SZA,,,
,2019-03-31,2019-04-03,300595.SZA,,,
,2019-03-31,2019-04-03,300584.SZA,,,
,2019-03-31,2019-03-23,300403.SZA,,,
,2019-03-31,2019-04-09,300367.SZA,,,
,2019-03-31,2019-02-27,300115.SZA,,,
,2019-03-31,2019-04-04,838830.SHA,,,
,2019-03-31,2019-04-10,300261.SZA,,,
,2019-03-31,2019-04-09,300075.SZA,,,
,2019-03-31,2019-03-28,002869.SZA,,,
,2019-03-31,2019-04-09,300492.SZA,,,
,2019-03-31,2019-03-26,300596.SZA,,,
,2019-03-31,2019-04-10,300628.SZA,,,
,2019-03-31,2019-04-10,300275.SZA,,,
,2019-03-31,2019-04-09,300527.SZA,,,
,2019-03-31,2019-04-10,300073.SZA,,,
,2019-03-31,2019-04-10,300474.SZA,,,
,2019-03-31,2019-02-27,300132.SZA,,,
,2019-03-31,2019-03-28,300571.SZA,,,
,2019-03-31,2019-03-27,002838.SZA,,,
,2019-03-31,2019-04-10,603611.SHA,,,
,2019-03-31,2019-04-10,300129.SZA,,,
,2019-03-31,2019-03-30,002798.SZA,,,
,2019-03-31,2019-04-10,300481.SZA,,,
,2019-03-31,2019-03-05,002384.SZA,,,
,2019-03-31,2019-03-19,002123.SZA,,,
,2019-03-31,2019-01-21,300326.SZA,,,
,2019-03-31,2019-04-10,300396.SZA,,,
,2019-03-31,2019-03-30,300215.SZA,,,
,2019-03-31,2019-04-09,300701.SZA,,,
,2019-03-31,2019-04-15,002740.SZA,,,
,2019-03-31,2019-04-09,300418.SZA,,,
,2019-03-31,2019-03-29,002083.SZA,,,
,2019-03-31,2019-03-29,002728.SZA,,,
,2019-03-31,2019-03-30,002326.SZA,,,
,2019-03-31,2019-04-09,300569.SZA,,,
,2019-03-31,2019-03-26,300529.SZA,,,
,2019-03-31,2019-04-10,300206.SZA,,,
,2019-03-31,2019-03-29,002734.SZA,,,
,2019-03-31,2019-02-25,002537.SZA,,,
,2019-03-31,2019-01-31,300068.SZA,,,
,2019-03-31,2019-03-28,300383.SZA,,,
,2019-03-31,2019-02-28,300545.SZA,,,
,2019-03-31,2019-04-04,300587.SZA,,,
,2019-03-31,2019-03-25,300058.SZA,,,
,2019-03-31,2019-04-09,300472.SZA,,,
,2019-03-31,2019-04-09,300467.SZA,,,
,2019-03-31,2019-01-31,300013.SZA,,,
,2019-03-31,2019-04-09,300669.SZA,,,
,2019-03-31,2019-04-09,300015.SZA,,,
,2019-03-31,2019-04-12,000557.SZA,,,
,2019-03-31,2019-04-13,000543.SZA,,,
,2019-03-31,2019-04-09,300315.SZA,,,
,2019-03-31,2019-04-10,300537.SZA,,,
,2019-03-31,2019-04-09,300226.SZA,,,
,2019-03-31,2019-04-13,603086.SHA,,,
,2019-03-31,2019-04-10,300371.SZA,,,
,2019-03-31,2019-04-10,002145.SZA,,,
,2019-03-31,2019-04-01,300253.SZA,,,
,2019-03-31,2019-04-10,300057.SZA,,,
,2019-03-31,2019-04-08,300451.SZA,,,
,2019-03-31,2019-02-19,002950.SZA,,,
,2019-03-31,2019-03-21,002515.SZA,,,
,2019-03-31,2019-04-10,300135.SZA,,,
