Code,Sname,ts_code
600267,海正药业,600267.SH
600269,赣粤高速,600269.SH
600270,外运发展,600270.SH
600271,航天信息,600271.SH
600273,嘉化能源,600273.SH
600276,恒瑞医药,600276.SH
600277,亿利洁能,600277.SH
600284,浦东建设,600284.SH
600285,羚锐制药,600285.SH
600288,大恒科技,600288.SH
600289,亿阳信通,600289.SH
600292,远达环保,600292.SH
600293,三峡新材,600293.SH
600297,广汇汽车,600297.SH
600298,安琪酵母,600298.SH
600300,维维股份,600300.SH
600307,酒钢宏兴,600307.SH
600309,万华化学,600309.SH
600310,桂东电力,600310.SH
600312,平高电气,600312.SH
600315,上海家化,600315.SH
600316,洪都航空,600316.SH
600318,新力金融,600318.SH
600320,振华重工,600320.SH
600321,国栋建设,600321.SH
600323,瀚蓝环境,600323.SH
600325,华发股份,600325.SH
600329,中新药业,600329.SH
600330,天通股份,600330.SH
600331,宏达股份,600331.SH
600332,白云山  ,600332.SH
600333,长春燃气,600333.SH
600335,国机汽车,600335.SH
600336,澳柯玛  ,600336.SH
600337,美克家居,600337.SH
600340,华夏幸福,600340.SH
600343,航天动力,600343.SH
600348,阳泉煤业,600348.SH
600350,山东高速,600350.SH
600352,浙江龙盛,600352.SH
600354,敦煌种业,600354.SH
600362,江西铜业,600362.SH
600363,联创光电,600363.SH
600366,宁波韵升,600366.SH
600369,西南证券,600369.SH
600372,中航电子,600372.SH
600373,中文传媒,600373.SH
600376,首开股份,600376.SH
600377,宁沪高速,600377.SH
600380,健康元  ,600380.SH
600382,广东明珠,600382.SH
600383,金地集团,600383.SH
600386,北巴传媒,600386.SH
600387,海越股份,600387.SH
600388,龙净环保,600388.SH
600389,江山股份,600389.SH
600391,成发科技,600391.SH
600392,盛和资源,600392.SH
600395,盘江股份,600395.SH
600398,海澜之家,600398.SH
600406,国电南瑞,600406.SH
600409,三友化工,600409.SH
600410,华胜天成,600410.SH
600415,小商品城,600415.SH
600416,湘电股份,600416.SH
600418,江淮汽车,600418.SH
600422,昆药集团,600422.SH
600425,青松建化,600425.SH
600426,华鲁恒升,600426.SH
600433,冠豪高新,600433.SH
600435,北方导航,600435.SH
600436,片仔癀  ,600436.SH
600446,金证股份,600446.SH
600449,宁夏建材,600449.SH
600456,宝钛股份,600456.SH
600458,时代新材,600458.SH
600459,贵研铂业,600459.SH
600460,士兰微  ,600460.SH
600466,蓝光发展,600466.SH
600467,好当家  ,600467.SH
600470,六国化工,600470.SH
600478,科力远  ,600478.SH
600481,双良节能,600481.SH
600482,中国动力,600482.SH
600483,福能股份,600483.SH
600485,信威集团,600485.SH
600486,扬农化工,600486.SH
600489,中金黄金,600489.SH
600490,鹏欣资源,600490.SH
600491,龙元建设,600491.SH
600495,晋西车轴,600495.SH
600497,驰宏锌锗,600497.SH
600498,烽火通信,600498.SH
600499,科达洁能,600499.SH
600500,中化国际,600500.SH
600502,安徽水利,600502.SH
600503,华丽家族,600503.SH
600509,天富能源,600509.SH
600511,国药股份,600511.SH
600515,海航基础,600515.SH
600516,方大炭素,600516.SH
600517,置信电气,600517.SH
600518,康美药业,600518.SH
600519,贵州茅台,600519.SH
600521,华海药业,600521.SH
600522,中天科技,600522.SH
600523,贵航股份,600523.SH
600525,长园集团,600525.SH
600526,菲达环保,600526.SH
600528,中铁工业,600528.SH
600535,天士力  ,600535.SH
600536,中国软件,600536.SH
600537,亿晶光电,600537.SH
600543,莫高股份,600543.SH
600545,新疆城建,600545.SH
600547,山东黄金,600547.SH
600548,深高速  ,600548.SH
600549,厦门钨业,600549.SH
600551,时代出版,600551.SH
600557,康缘药业,600557.SH
600559,老白干酒,600559.SH
600563,法拉电子,600563.SH
600566,济川药业,600566.SH
600568,中珠医疗,600568.SH
600570,恒生电子,600570.SH
600572,康恩贝  ,600572.SH
600575,皖江物流,600575.SH
600578,京能电力,600578.SH
600580,卧龙电气,600580.SH
600582,天地科技,600582.SH
600583,海油工程,600583.SH
600584,长电科技,600584.SH
600585,海螺水泥,600585.SH
600587,新华医疗,600587.SH
600588,用友网络,600588.SH
1,平安银行,000001.SZ
2,万 科Ａ,000002.SZ
6,深振业Ａ,000006.SZ
8,神州高铁,000008.SZ
9,中国宝安,000009.SZ
12,南 玻Ａ,000012.SZ
16,深康佳Ａ,000016.SZ
21,深科技,000021.SZ
25,特 力Ａ,000025.SZ
27,深圳能源,000027.SZ
28,国药一致,000028.SZ
30,富奥股份,000030.SZ
31,大悦城,000031.SZ
34,神州数码,000034.SZ
35,中国天楹,000035.SZ
36,华联控股,000036.SZ
39,中集集团,000039.SZ
40,东旭蓝天,000040.SZ
43,中航善达,000043.SZ
46,泛海控股,000046.SZ
49,德赛电池,000049.SZ
50,深天马Ａ,000050.SZ
59,华锦股份,000059.SZ
60,中金岭南,000060.SZ
61,农 产 品,000061.SZ
62,深圳华强,000062.SZ
63,中兴通讯,000063.SZ
66,中国长城,000066.SZ
69,华侨城Ａ,000069.SZ
70,特发信息,000070.SZ
78,海王生物,000078.SZ
88,盐 田 港,000088.SZ
89,深圳机场,000089.SZ
90,天健集团,000090.SZ
99,中信海直,000099.SZ
100,TCL 集团,000100.SZ
150,宜华健康,000150.SZ
151,中成股份,000151.SZ
156,华数传媒,000156.SZ
157,中联重科,000157.SZ
158,常山北明,000158.SZ
159,国际实业,000159.SZ
166,申万宏源,000166.SZ
301,东方盛虹,000301.SZ
333,美的集团,000333.SZ
338,潍柴动力,000338.SZ
400,许继电气,000400.SZ
401,冀东水泥,000401.SZ
402,金 融 街,000402.SZ
403,振兴生化,000403.SZ
404,长虹华意,000404.SZ
408,藏格控股,000408.SZ
413,东旭光电,000413.SZ
415,渤海租赁,000415.SZ
417,合肥百货,000417.SZ
423,东阿阿胶,000423.SZ
425,徐工机械,000425.SZ
426,兴业矿业,000426.SZ
488,晨鸣纸业,000488.SZ
501,鄂武商Ａ,000501.SZ
503,国新健康,000503.SZ
505,京粮控股,000505.SZ
506,中润资源,000506.SZ
513,丽珠集团,000513.SZ
516,国际医学,000516.SZ
517,荣安地产,000517.SZ
519,中兵红箭,000519.SZ
525,红 太 阳,000525.SZ
528,柳 工,000528.SZ
531,穗恒运Ａ,000531.SZ
536,华映科技,000536.SZ
537,广宇发展,000537.SZ
538,云南白药,000538.SZ
539,粤电力Ａ,000539.SZ
540,中天金融,000540.SZ
541,佛山照明,000541.SZ
543,皖能电力,000543.SZ
547,航天发展,000547.SZ
550,江铃汽车,000550.SZ
551,创元科技,000551.SZ
552,靖远煤电,000552.SZ
554,泰山石油,000554.SZ
555,神州信息,000555.SZ
559,万向钱潮,000559.SZ
560,我爱我家,000560.SZ
563,陕国投Ａ,000563.SZ
565,渝三峡Ａ,000565.SZ
566,海南海药,000566.SZ
568,泸州老窖,000568.SZ
581,威孚高科,000581.SZ
589,贵州轮胎,000589.SZ
591,太阳能,000591.SZ
592,平潭发展,000592.SZ
596,古井贡酒,000596.SZ
598,兴蓉环境,000598.SZ
600,建投能源,000600.SZ
603,盛达矿业,000603.SZ
607,华媒控股,000607.SZ
612,焦作万方,000612.SZ
616,海航投资,000616.SZ
620,新华联,000620.SZ
623,吉林敖东,000623.SZ
625,长安汽车,000625.SZ
627,天茂集团,000627.SZ
629,攀钢钒钛,000629.SZ
630,铜陵有色,000630.SZ
631,顺发恒业,000631.SZ
636,风华高科,000636.SZ
639,西王食品,000639.SZ
650,仁和药业,000650.SZ
651,格力电器,000651.SZ
652,泰达股份,000652.SZ
655,金岭矿业,000655.SZ
656,金科股份,000656.SZ
661,长春高新,000661.SZ
665,湖北广电,000665.SZ
667,美好置业,000667.SZ
671,阳 光 城,000671.SZ
672,上峰水泥,000672.SZ
680,山推股份,000680.SZ
681,视觉中国,000681.SZ
683,远兴能源,000683.SZ
685,中山公用,000685.SZ
686,东北证券,000686.SZ
690,宝新能源,000690.SZ
700,模塑科技,000700.SZ
703,恒逸石化,000703.SZ
708,大冶特钢,000708.SZ
709,河钢股份,000709.SZ
712,锦龙股份,000712.SZ
717,韶钢松山,000717.SZ
718,苏宁环球,000718.SZ
719,中原传媒,000719.SZ
723,美锦能源,000723.SZ
725,京东方Ａ,000725.SZ
726,鲁 泰Ａ,000726.SZ
727,华东科技,000727.SZ
728,国元证券,000728.SZ
729,燕京啤酒,000729.SZ
731,四川美丰,000731.SZ
732,泰禾集团,000732.SZ
733,振华科技,000733.SZ
735,罗 牛 山,000735.SZ
738,航发控制,000738.SZ
739,普洛药业,000739.SZ
750,国海证券,000750.SZ
758,中色股份,000758.SZ
761,本钢板材,000761.SZ
762,西藏矿业,000762.SZ
766,通化金马,000766.SZ
767,漳泽电力,000767.SZ
768,中航飞机,000768.SZ
776,广发证券,000776.SZ
777,中核科技,000777.SZ
778,新兴铸管,000778.SZ
783,长江证券,000783.SZ
786,北新建材,000786.SZ
789,万年青,000789.SZ
790,泰合健康,000790.SZ
793,华闻传媒,000793.SZ
799,酒鬼酒,000799.SZ
800,一汽轿车,000800.SZ
801,四川九洲,000801.SZ
802,北京文化,000802.SZ
807,云铝股份,000807.SZ
810,创维数字,000810.SZ
811,冰轮环境,000811.SZ
812,陕西金叶,000812.SZ
813,德展健康,000813.SZ
818,航锦科技,000818.SZ
823,超声电子,000823.SZ
825,太钢不锈,000825.SZ
826,启迪环境,000826.SZ
828,东莞控股,000828.SZ
829,天音控股,000829.SZ
830,鲁西化工,000830.SZ
836,富通鑫茂,000836.SZ
839,中信国安,000839.SZ
848,承德露露,000848.SZ
850,华茂股份,000850.SZ
851,高鸿股份,000851.SZ
852,石化机械,000852.SZ
858,五 粮 液,000858.SZ
859,国风塑业,000859.SZ
860,顺鑫农业,000860.SZ
861,海印股份,000861.SZ
869,张 裕Ａ,000869.SZ
875,吉电股份,000875.SZ
876,新 希 望,000876.SZ
877,天山股份,000877.SZ
878,云南铜业,000878.SZ
883,湖北能源,000883.SZ
885,城发环境,000885.SZ
887,中鼎股份,000887.SZ
889,中嘉博创,000889.SZ
895,双汇发展,000895.SZ
898,鞍钢股份,000898.SZ
899,赣能股份,000899.SZ
900,现代投资,000900.SZ
901,航天科技,000901.SZ
902,新洋丰,000902.SZ
905,厦门港务,000905.SZ
910,大亚圣象,000910.SZ
912,泸天化,000912.SZ
915,山大华特,000915.SZ
917,电广传媒,000917.SZ
918,嘉凯城,000918.SZ
921,海信家电,000921.SZ
926,福星股份,000926.SZ
927,一汽夏利,000927.SZ
928,中钢国际,000928.SZ
930,中粮生化,000930.SZ
931,中 关 村,000931.SZ
932,华菱钢铁,000932.SZ
933,神火股份,000933.SZ
935,四川双马,000935.SZ
936,华西股份,000936.SZ
937,冀中能源,000937.SZ
938,紫光股份,000938.SZ
951,中国重汽,000951.SZ
957,中通客车,000957.SZ
958,东方能源,000958.SZ
959,首钢股份,000959.SZ
960,锡业股份,000960.SZ
961,中南建设,000961.SZ
963,华东医药,000963.SZ
966,长源电力,000966.SZ
967,盈峰环境,000967.SZ
968,蓝焰控股,000968.SZ
969,安泰科技,000969.SZ
970,中科三环,000970.SZ
973,佛塑科技,000973.SZ
975,银泰资源,000975.SZ
976,华铁股份,000976.SZ
977,浪潮信息,000977.SZ
980,众泰汽车,000980.SZ
983,西山煤电,000983.SZ
987,越秀金控,000987.SZ
988,华工科技,000988.SZ
989,九 芝 堂,000989.SZ
990,诚志股份,000990.SZ
993,闽东电力,000993.SZ
996,中国中期,000996.SZ
997,新 大 陆,000997.SZ
998,隆平高科,000998.SZ
999,华润三九,000999.SZ
1696,宗申动力,001696.SZ
1872,招商港口,001872.SZ
1896,豫能控股,001896.SZ
1979,招商蛇口,001979.SZ
2001,新 和 成,002001.SZ
2002,鸿达兴业,002002.SZ
2004,华邦健康,002004.SZ
2007,华兰生物,002007.SZ
2008,大族激光,002008.SZ
2010,传化智联,002010.SZ
2011,盾安环境,002011.SZ
2013,中航机电,002013.SZ
2016,世荣兆业,002016.SZ
2017,东信和平,002017.SZ
2019,亿帆医药,002019.SZ
2020,京新药业,002020.SZ
2022,科华生物,002022.SZ
2023,海特高新,002023.SZ
2024,苏宁易购,002024.SZ
2025,航天电器,002025.SZ
2027,分众传媒,002027.SZ
2028,思源电气,002028.SZ
2029,七 匹 狼,002029.SZ
2030,达安基因,002030.SZ
2032,苏 泊 尔,002032.SZ
2035,华帝股份,002035.SZ
2036,联创电子,002036.SZ
2038,双鹭药业,002038.SZ
2041,登海种业,002041.SZ
2042,华孚时尚,002042.SZ
2044,美年健康,002044.SZ
2047,宝鹰股份,002047.SZ
2048,宁波华翔,002048.SZ
2049,紫光国微,002049.SZ
2050,三花智控,002050.SZ
2051,中工国际,002051.SZ
2052,同洲电子,002052.SZ
2054,德美化工,002054.SZ
2055,得润电子,002055.SZ
2056,横店东磁,002056.SZ
2063,远光软件,002063.SZ
2064,华峰氨纶,002064.SZ
2065,东华软件,002065.SZ
2067,景兴纸业,002067.SZ
2071,长城影视,002071.SZ
2073,软控股份,002073.SZ
2074,国轩高科,002074.SZ
2075,沙钢股份,002075.SZ
2078,太阳纸业,002078.SZ
2079,苏州固锝,002079.SZ
2080,中材科技,002080.SZ
2081,金 螳 螂,002081.SZ
2085,万丰奥威,002085.SZ
2091,江苏国泰,002091.SZ
2092,中泰化学,002092.SZ
2093,国脉科技,002093.SZ
2095,生 意 宝,002095.SZ
2099,海翔药业,002099.SZ
2100,天康生物,002100.SZ
2104,恒宝股份,002104.SZ
2106,莱宝高科,002106.SZ
2108,沧州明珠,002108.SZ
2110,三钢闽光,002110.SZ
2115,三维通信,002115.SZ
2117,东港股份,002117.SZ
2118,紫鑫药业,002118.SZ
2120,韵达股份,002120.SZ
2124,天邦股份,002124.SZ
2127,南极电商,002127.SZ
2128,露天煤业,002128.SZ
2129,中环股份,002129.SZ
2130,沃尔核材,002130.SZ
2131,利欧股份,002131.SZ
2138,顺络电子,002138.SZ
2140,东华科技,002140.SZ
2142,宁波银行,002142.SZ
2145,中核钛白,002145.SZ
2146,荣盛发展,002146.SZ
2148,北纬科技,002148.SZ
2149,西部材料,002149.SZ
2151,北斗星通,002151.SZ
2152,广电运通,002152.SZ
2153,石基信息,002153.SZ
2154,报 喜 鸟,002154.SZ
2155,湖南黄金,002155.SZ
2156,通富微电,002156.SZ
2157,正邦科技,002157.SZ
2158,汉钟精机,002158.SZ
2161,远 望 谷,002161.SZ
2166,莱茵生物,002166.SZ
2167,东方锆业,002167.SZ
2168,惠程科技,002168.SZ
2169,智光电气,002169.SZ
2171,楚江新材,002171.SZ
2174,游族网络,002174.SZ
2176,江特电机,002176.SZ
2177,御银股份,002177.SZ
2179,中航光电,002179.SZ
2180,纳思达,002180.SZ
2181,粤 传 媒,002181.SZ
2182,云海金属,002182.SZ
2183,怡 亚 通,002183.SZ
2185,华天科技,002185.SZ
2189,中光学,002189.SZ
2191,劲嘉股份,002191.SZ
2195,二三四五,002195.SZ
2198,嘉应制药,002198.SZ
2202,金风科技,002202.SZ
2203,海亮股份,002203.SZ
2204,大连重工,002204.SZ
2212,南洋股份,002212.SZ
2214,大立科技,002214.SZ
2215,诺 普 信,002215.SZ
2217,合力泰,002217.SZ
2221,东华能源,002221.SZ
2222,福晶科技,002222.SZ
2223,鱼跃医疗,002223.SZ
2229,鸿博股份,002229.SZ
2230,科大讯飞,002230.SZ
2233,塔牌集团,002233.SZ
2234,民和股份,002234.SZ
2235,安妮股份,002235.SZ
2236,大华股份,002236.SZ
2237,恒邦股份,002237.SZ
2238,天威视讯,002238.SZ
2240,威华股份,002240.SZ
2241,歌尔股份,002241.SZ
2242,九阳股份,002242.SZ
2243,通产丽星,002243.SZ
2244,滨江集团,002244.SZ
2249,大洋电机,002249.SZ
2250,联化科技,002250.SZ
2251,步 步 高,002251.SZ
2252,上海莱士,002252.SZ
2254,泰和新材,002254.SZ
2258,利尔化学,002258.SZ
2261,拓维信息,002261.SZ
2262,恩华药业,002262.SZ
2266,浙富控股,002266.SZ
2267,陕天然气,002267.SZ
2268,卫 士 通,002268.SZ
2269,美邦服饰,002269.SZ
2271,东方雨虹,002271.SZ
2273,水晶光电,002273.SZ
2274,华昌化工,002274.SZ
2275,桂林三金,002275.SZ
2276,万马股份,002276.SZ
2277,友阿股份,002277.SZ
2280,联络互动,002280.SZ
2281,光迅科技,002281.SZ
2285,世联行,002285.SZ
2287,奇正藏药,002287.SZ
2288,超华科技,002288.SZ
2292,奥飞娱乐,002292.SZ
2293,罗莱生活,002293.SZ
2294,信立泰,002294.SZ
2297,博云新材,002297.SZ
2299,圣农发展,002299.SZ
2301,齐心集团,002301.SZ
2302,西部建设,002302.SZ
2303,美盈森,002303.SZ
2304,洋河股份,002304.SZ
2307,北新路桥,002307.SZ
2308,威创股份,002308.SZ
2310,东方园林,002310.SZ
2311,海大集团,002311.SZ
2313,日海智能,002313.SZ
2317,众生药业,002317.SZ
2318,久立特材,002318.SZ
2320,海峡股份,002320.SZ
2321,华英农业,002321.SZ
2325,洪涛股份,002325.SZ
2326,永太科技,002326.SZ
2332,仙琚制药,002332.SZ
2340,格林美,002340.SZ
2344,海宁皮城,002344.SZ
2352,顺丰控股,002352.SZ
2353,杰瑞股份,002353.SZ
2355,兴民智通,002355.SZ
2358,森源电气,002358.SZ
2366,台海核电,002366.SZ
2367,康力电梯,002367.SZ
2368,太极股份,002368.SZ
2369,卓翼科技,002369.SZ
2370,亚太药业,002370.SZ
2371,北方华创,002371.SZ
2372,伟星新材,002372.SZ
2373,千方科技,002373.SZ
2375,亚厦股份,002375.SZ
2376,新北洋,002376.SZ
2378,章源钨业,002378.SZ
2382,蓝帆医疗,002382.SZ
2383,合众思壮,002383.SZ
2384,东山精密,002384.SZ
2385,大北农,002385.SZ
2387,维信诺,002387.SZ
2389,航天彩虹,002389.SZ
2390,信邦制药,002390.SZ
2393,力生制药,002393.SZ
2396,星网锐捷,002396.SZ
2399,海普瑞,002399.SZ
2400,省广集团,002400.SZ
2401,中远海科,002401.SZ
2402,和而泰,002402.SZ
2405,四维图新,002405.SZ
2407,多氟多,002407.SZ
2408,齐翔腾达,002408.SZ
2410,广联达,002410.SZ
2411,延安必康,002411.SZ
2412,汉森制药,002412.SZ
2413,雷科防务,002413.SZ
2414,高德红外,002414.SZ
2415,海康威视,002415.SZ
2416,爱施德,002416.SZ
2419,天虹股份,002419.SZ
2421,达实智能,002421.SZ
2422,科伦药业,002422.SZ
2424,贵州百灵,002424.SZ
2425,凯撒文化,002425.SZ
2426,胜利精密,002426.SZ
2428,云南锗业,002428.SZ
2429,兆驰股份,002429.SZ
2430,杭氧股份,002430.SZ
2431,棕榈股份,002431.SZ
2434,万里扬,002434.SZ
2436,兴森科技,002436.SZ
2437,誉衡药业,002437.SZ
2439,启明星辰,002439.SZ
2440,闰土股份,002440.SZ
2444,巨星科技,002444.SZ
2446,盛路通信,002446.SZ
2447,晨鑫科技,002447.SZ
2449,国星光电,002449.SZ
2451,摩恩电气,002451.SZ
2456,欧菲光,002456.SZ
2458,益生股份,002458.SZ
2460,赣锋锂业,002460.SZ
2461,珠江啤酒,002461.SZ
2464,众应互联,002464.SZ
2465,海格通信,002465.SZ
2466,天齐锂业,002466.SZ
2467,二六三,002467.SZ
2468,申通快递,002468.SZ
2470,金正大,002470.SZ
2474,榕基软件,002474.SZ
2475,立讯精密,002475.SZ
2476,宝莫股份,002476.SZ
2482,广田集团,002482.SZ
2488,金固股份,002488.SZ
2489,浙江永强,002489.SZ
2491,通鼎互联,002491.SZ
2493,荣盛石化,002493.SZ
2497,雅化集团,002497.SZ
2498,汉缆股份,002498.SZ
2500,山西证券,002500.SZ
2503,搜于特,002503.SZ
2505,大康农业,002505.SZ
2506,协鑫集成,002506.SZ
2507,涪陵榨菜,002507.SZ
2508,老板电器,002508.SZ
2511,中顺洁柔,002511.SZ
2512,达华智能,002512.SZ
2517,恺英网络,002517.SZ
2518,科士达,002518.SZ
2521,齐峰新材,002521.SZ
2522,浙江众成,002522.SZ
2531,天顺风能,002531.SZ
2537,海联金汇,002537.SZ
2538,司尔特,002538.SZ
2544,杰赛科技,002544.SZ
2547,春兴精工,002547.SZ
2548,金新农,002548.SZ
2555,三七互娱,002555.SZ
2556,辉隆股份,002556.SZ
2557,洽洽食品,002557.SZ
2558,巨人网络,002558.SZ
2561,徐家汇,002561.SZ
2563,森马服饰,002563.SZ
2565,顺灏股份,002565.SZ
2567,唐人神,002567.SZ
2568,百润股份,002568.SZ
2570,贝因美,002570.SZ
2572,索菲亚,002572.SZ
2573,清新环境,002573.SZ
2574,明牌珠宝,002574.SZ
2577,雷柏科技,002577.SZ
2579,中京电子,002579.SZ
2583,海能达,002583.SZ
2588,史丹利,002588.SZ
2589,瑞康医药,002589.SZ
2594,比亚迪,002594.SZ
2595,豪迈科技,002595.SZ
2596,海南瑞泽,002596.SZ
2597,金禾实业,002597.SZ
2600,领益智造,002600.SZ
2601,龙蟒佰利,002601.SZ
2602,世纪华通,002602.SZ
2603,以岭药业,002603.SZ
2607,中公教育,002607.SZ
2608,江苏国信,002608.SZ
2610,爱康科技,002610.SZ
2611,东方精工,002611.SZ
2617,露笑科技,002617.SZ
2618,丹邦科技,002618.SZ
2621,美吉姆,002621.SZ
2624,完美世界,002624.SZ
2626,金达威,002626.SZ
2631,德尔未来,002631.SZ
2635,安洁科技,002635.SZ
2639,雪人股份,002639.SZ
2640,跨境通,002640.SZ
2643,万润股份,002643.SZ
2646,青青稞酒,002646.SZ
2647,仁东控股,002647.SZ
2648,卫星石化,002648.SZ
2650,加加食品,002650.SZ
2653,海思科,002653.SZ
2657,中科金财,002657.SZ
2662,京威股份,002662.SZ
2665,首航节能,002665.SZ
2670,国盛金控,002670.SZ
2672,东江环保,002672.SZ
2673,西部证券,002673.SZ
2675,东诚药业,002675.SZ
2681,奋达科技,002681.SZ
2683,宏大爆破,002683.SZ
2690,美亚光电,002690.SZ
2695,煌上煌,002695.SZ
2697,红旗连锁,002697.SZ
2698,博实股份,002698.SZ
2701,奥瑞金,002701.SZ
2705,新宝股份,002705.SZ
2709,天赐材料,002709.SZ
2714,牧原股份,002714.SZ
2716,金贵银业,002716.SZ
2726,龙大肉食,002726.SZ
2727,一心堂,002727.SZ
2733,雄韬股份,002733.SZ
2736,国信证券,002736.SZ
2737,葵花药业,002737.SZ
2739,万达电影,002739.SZ
2745,木林森,002745.SZ
2746,仙坛股份,002746.SZ
2747,埃斯顿,002747.SZ
2750,龙津药业,002750.SZ
2773,康弘药业,002773.SZ
2783,凯龙股份,002783.SZ
2792,通宇通讯,002792.SZ
2796,世嘉科技,002796.SZ
2797,第一创业,002797.SZ
2812,恩捷股份,002812.SZ
2821,凯莱英,002821.SZ
2839,张家港行,002839.SZ
2912,中新赛克,002912.SZ
2916,深南电路,002916.SZ
2925,盈趣科技,002925.SZ
2926,华西证券,002926.SZ
2939,长城证券,002939.SZ
2947,恒铭达,002947.SZ
2958,青农商行,002958.SZ
300001,特锐德,300001.SZ
300002,神州泰岳,300002.SZ
300003,乐普医疗,300003.SZ
300006,莱美药业,300006.SZ
300009,安科生物,300009.SZ
300010,立思辰,300010.SZ
300012,华测检测,300012.SZ
300014,亿纬锂能,300014.SZ
300015,爱尔眼科,300015.SZ
300017,网宿科技,300017.SZ
300018,中元股份,300018.SZ
300020,银江股份,300020.SZ
300024,机器人,300024.SZ
300025,华星创业,300025.SZ
300026,红日药业,300026.SZ
300027,华谊兄弟,300027.SZ
300033,同花顺,300033.SZ
300034,钢研高纳,300034.SZ
300036,超图软件,300036.SZ
300037,新宙邦,300037.SZ
300038,数知科技,300038.SZ
300039,上海凯宝,300039.SZ
300042,朗科科技,300042.SZ
300053,欧比特,300053.SZ
300054,鼎龙股份,300054.SZ
300055,万邦达,300055.SZ
300058,蓝色光标,300058.SZ
300059,东方财富,300059.SZ
300065,海兰信,300065.SZ
300066,三川智慧,300066.SZ
300068,南都电源,300068.SZ
300070,碧水源,300070.SZ
300072,三聚环保,300072.SZ
300073,当升科技,300073.SZ
300078,思创医惠,300078.SZ
300079,数码科技,300079.SZ
