,date,ndate,instrument,hymc,forecast,forecasttype,increasel,increaset,zfpx
128,2019-12-31,2019-10-25,002634.SZA,纺织服装,increase,预增,75.0,125.0,100.0
129,2019-12-31,2019-10-24,002362.SZA,软件服务,increase,预增,76.49,152.13,114.31
130,2019-12-31,2019-10-17,002876.SZA,电子信息,increase,预增,80.0,130.0,105.0
131,2019-12-31,2019-10-23,002324.SZA,塑胶制品,increase,预增,80.0,120.0,100.0
132,2019-12-31,2019-10-28,002276.SZA,输配电气,increase,预增,80.0,100.0,90.0
133,2019-12-31,2019-10-23,002481.SZA,食品饮料,increase,预增,80.0,130.0,105.0
134,2019-12-31,2019-10-30,002429.SZA,家电行业,increase,预增,80.0,120.0,100.0
135,2019-12-31,2019-12-20,002216.SZA,食品饮料,increase,预增,80.0,110.0,95.0
136,2019-12-31,2019-10-24,002733.SZA,电子元件,increase,预增,80.42,133.49,106.955
137,2019-12-31,2019-10-31,002409.SZA,化工行业,increase,预增,80.59,103.16,91.875
138,2019-12-31,2019-11-08,688198.SHA,医疗行业,increase,预增,83.24,94.7,88.97
139,2019-12-31,2019-11-14,688357.SHA,化工行业,increase,预增,83.57,83.57,83.57
140,2019-12-31,2019-10-26,002053.SZA,化工行业,increase,预增,87.21,113.34,100.275
141,2019-12-31,2019-10-31,002740.SZA,珠宝首饰,increase,预增,90.0,140.0,115.0
142,2019-12-31,2019-10-22,002552.SZA,船舶制造,increase,预增,95.19,126.55,110.87
143,2019-12-31,2019-10-24,002562.SZA,医药制造,increase,预增,100.0,140.0,120.0
144,2019-12-31,2019-10-23,002487.SZA,金属制品,increase,预增,100.0,150.0,125.0
145,2019-12-31,2019-10-24,002265.SZA,机械行业,increase,扭亏,100.0,114.62,107.31
146,2019-12-31,2019-10-22,002810.SZA,化工行业,increase,预增,100.0,130.0,115.0
147,2019-12-31,2019-10-31,002345.SZA,珠宝首饰,increase,预增,100.0,200.0,150.0
148,2019-12-31,2019-10-22,002799.SZA,造纸印刷,increase,预增,100.0,150.0,125.0
149,2019-12-31,2019-10-25,002280.SZA,软件服务,increase,扭亏,100.0,107.48,103.74
150,2019-12-31,2019-10-30,002355.SZA,汽车行业,increase,扭亏,100.0,107.69,103.845
151,2019-12-31,2019-10-24,002182.SZA,有色金属,increase,预增,100.3,118.51,109.405
152,2019-12-31,2019-10-31,002103.SZA,文教休闲,increase,扭亏,100.74,104.43,102.585
153,2019-12-31,2019-10-31,002638.SZA,电子元件,increase,扭亏,100.8,101.2,101.0
154,2019-12-31,2019-12-17,002463.SZA,电子元件,increase,预增,101.6,119.13,110.365
155,2019-12-31,2019-10-29,002086.SZA,农牧饲渔,increase,扭亏,102.54,106.34,104.44
156,2019-12-31,2019-10-23,002513.SZA,农药兽药,increase,扭亏,103.2,104.34,103.77
157,2019-12-31,2019-10-31,002289.SZA,电子元件,increase,扭亏,103.24,119.44,111.34
158,2019-12-31,2019-10-31,002555.SZA,电子信息,increase,预增,103.27,113.19,108.23
159,2019-12-31,2019-10-25,002196.SZA,机械行业,increase,扭亏,104.0,107.0,105.5
160,2019-12-31,2019-10-12,002261.SZA,软件服务,increase,扭亏,104.39,106.59,105.49
161,2019-12-31,2019-10-29,002420.SZA,家电行业,increase,扭亏,104.92,107.37,106.145
162,2019-12-31,2019-10-30,300270.SZA,安防设备,increase,扭亏,105.0,135.0,120.0
163,2019-12-31,2019-10-31,002374.SZA,园林工程,increase,扭亏,105.06,108.86,106.96
164,2019-12-31,2019-10-31,002512.SZA,电子元件,increase,扭亏,105.74,108.32,107.03
165,2019-12-31,2019-10-30,002249.SZA,机械行业,increase,扭亏,106.31,114.73,110.52
166,2019-12-31,2019-10-29,002098.SZA,化纤行业,increase,扭亏,107.7,113.85,110.775
167,2019-12-31,2019-10-29,002708.SZA,汽车行业,increase,扭亏,107.74,111.06,109.4
168,2019-12-31,2019-10-24,002197.SZA,电子信息,increase,扭亏,107.75,111.61,109.68
169,2019-12-31,2019-10-30,002292.SZA,文化传媒,increase,扭亏,107.97,109.2,108.585
170,2019-12-31,2019-10-29,300167.SZA,安防设备,increase,扭亏,108.03,111.12,109.575
171,2019-12-31,2019-10-25,002260.SZA,家电行业,increase,扭亏,108.12,111.59,109.855
172,2019-12-31,2019-10-31,002054.SZA,化工行业,increase,预增,110.19,159.88,135.035
173,2019-12-31,2019-10-31,002665.SZA,机械行业,increase,扭亏,110.94,115.63,113.285
174,2019-12-31,2019-12-24,834166.SHA,nan,increase,预增,111.02,165.72,138.37
175,2019-12-31,2019-10-25,002527.SZA,机械行业,increase,扭亏,111.51,130.69,121.1
176,2019-12-31,2019-10-23,002719.SZA,食品饮料,increase,扭亏,111.68,123.36,117.52
177,2019-12-31,2019-10-30,002134.SZA,电子元件,increase,扭亏,113.5,125.31,119.405
178,2019-12-31,2019-10-25,002199.SZA,电子元件,increase,扭亏,115.26,140.7,127.98
179,2019-12-31,2019-10-26,002184.SZA,电子信息,increase,扭亏,115.67,121.94,118.805
180,2019-12-31,2019-10-29,002654.SZA,文化传媒,increase,扭亏,115.87,123.81,119.84
181,2019-12-31,2019-10-25,002390.SZA,医药制造,increase,扭亏,116.97,120.82,118.895
182,2019-12-31,2019-10-19,300200.SZA,材料行业,increase,预增,118.2,147.9,133.05
183,2019-12-31,2019-10-25,002357.SZA,交运物流,increase,预增,120.0,170.0,145.0
184,2019-12-31,2019-10-30,300163.SZA,材料行业,increase,扭亏,122.11,124.55,123.33
185,2019-12-31,2019-10-19,002073.SZA,电子信息,increase,扭亏,122.37,131.96,127.165
186,2019-12-31,2019-10-31,002699.SZA,文教休闲,increase,扭亏,126.14,152.28,139.21
187,2019-12-31,2019-10-24,002102.SZA,医药制造,increase,扭亏,127.65,133.18,130.415
188,2019-12-31,2019-10-29,002590.SZA,交运设备,increase,扭亏,130.0,180.0,155.0
189,2019-12-31,2019-10-28,002568.SZA,食品饮料,increase,预增,130.0,160.0,145.0
190,2019-12-31,2019-10-31,002214.SZA,安防设备,increase,预增,130.0,180.0,155.0
191,2019-12-31,2019-10-23,002165.SZA,化工行业,increase,预增,130.0,175.0,152.5
192,2019-12-31,2019-10-28,300366.SZA,电子信息,increase,扭亏,131.07,136.24,133.655
193,2019-12-31,2019-12-31,835033.SHA,nan,increase,预增,132.45,132.45,132.45
194,2019-12-31,2019-10-29,002137.SZA,电子元件,increase,扭亏,132.47,143.3,137.885
195,2019-12-31,2019-10-25,002571.SZA,玻璃陶瓷,increase,扭亏,137.53,146.91,142.22
196,2019-12-31,2019-10-28,002723.SZA,家电行业,increase,扭亏,140.97,149.83,145.4
197,2019-12-31,2019-10-25,002369.SZA,通讯行业,increase,扭亏,143.77,163.23,153.5
198,2019-12-31,2019-10-18,002479.SZA,环保工程,increase,预增,145.0,175.0,160.0
199,2019-12-31,2019-10-19,002299.SZA,农牧饲渔,increase,预增,146.1,152.74,149.42
200,2019-12-31,2019-10-26,002296.SZA,通讯行业,increase,预增,152.41,224.52,188.465
201,2019-12-31,2019-10-24,300005.SZA,纺织服装,increase,扭亏,154.97,,154.97
202,2019-12-31,2019-12-24,300014.SZA,电子元件,increase,预增,155.0,185.0,170.0
203,2019-12-31,2019-10-23,002084.SZA,装修装饰,increase,预增,158.46,257.59,208.025
204,2019-12-31,2019-10-30,002850.SZA,金属制品,increase,预增,160.0,210.0,185.0
205,2019-12-31,2019-12-31,830974.SHA,nan,increase,预增,160.13,187.8,173.965
206,2019-12-31,2019-10-29,000063.SZA,通讯行业,increase,扭亏,161.57,175.89,168.73
207,2019-12-31,2019-10-26,002192.SZA,电子元件,increase,扭亏,163.95,256.33,210.14
208,2019-12-31,2019-10-18,002591.SZA,化工行业,increase,预增,186.46,272.4,229.43
209,2019-12-31,2019-10-22,002732.SZA,食品饮料,increase,预增,190.0,270.0,230.0
210,2019-12-31,2019-10-23,002524.SZA,公用事业,increase,扭亏,206.92,273.75,240.335
211,2019-12-31,2019-10-30,002707.SZA,旅游酒店,increase,预增,218.25,377.38,297.815
212,2019-12-31,2019-10-29,002639.SZA,机械行业,increase,预增,257.01,289.47,273.24
213,2019-12-31,2019-10-30,603818.SHA,木业家具,increase,扭亏,259.15,337.03,298.09
214,2019-12-31,2019-10-31,000905.SZA,港口水运,increase,预增,260.0,310.0,285.0
215,2019-12-31,2019-11-11,688278.SHA,医药制造,increase,预增,262.43,287.43,274.93
216,2019-12-31,2019-10-26,002544.SZA,通讯行业,increase,预增,300.0,350.0,325.0
217,2019-12-31,2019-10-31,002154.SZA,纺织服装,increase,预增,310.0,360.0,335.0
218,2019-12-31,2019-12-25,300709.SZA,电子元件,increase,预增,316.83,343.72,330.275
219,2019-12-31,2019-10-28,002123.SZA,通讯行业,increase,预增,326.37,536.37,431.37
220,2019-12-31,2019-10-24,002800.SZA,交运物流,increase,预增,364.76,536.89,450.825
221,2019-12-31,2019-10-28,002451.SZA,输配电气,increase,预增,365.21,424.85,395.03
222,2019-12-31,2019-10-26,002416.SZA,商业百货,increase,扭亏,445.12,499.05,472.085
223,2019-12-31,2019-10-29,600768.SHA,有色金属,increase,扭亏,454.04,454.04,454.04
224,2019-12-31,2019-10-28,002489.SZA,木业家具,increase,扭亏,471.14,563.92,517.53
225,2019-12-31,2019-10-28,002458.SZA,农牧饲渔,increase,预增,520.11,533.89,527.0
226,2019-12-31,2019-10-31,002229.SZA,造纸印刷,increase,预增,522.19,638.85,580.52
227,2019-12-31,2019-10-26,002835.SZA,电子信息,increase,预增,655.8,907.73,781.765
